UserID,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44,J45,J46,J47,J48,J49,J50,J51,J52,J53,J54,J55,J56,J57,J58,J59,J60,J61,J62,J63,J64,J65,J66,J67,J68,J69,J70,J71,J72,J73,J74,J75,J76,J77,J78,J79,J80,J81,J82,J83,J84,J85,J86,J87,J88,J89,J90,J91,J92,J93,J94,J95,J96,J97,J98,J99,J100
1,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822
5,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822
7,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822
8,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822
11,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822
13,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822
14,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822
15,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822
17,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822
23,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822
