UserID,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44,J45,J46,J47,J48,J49,J50,J51,J52,J53,J54,J55,J56,J57,J58,J59,J60,J61,J62,J63,J64,J65,J66,J67,J68,J69,J70,J71,J72,J73,J74,J75,J76,J77,J78,J79,J80,J81,J82,J83,J84,J85,J86,J87,J88,J89,J90,J91,J92,J93,J94,J95,J96,J97,J98,J99,J100
1,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463,2.7463
5,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977,-4.8977
7,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869,-2.3869
8,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944,-0.7944
11,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409,0.4409
13,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448,4.3448
14,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171,-0.6171
15,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424,-0.2424
17,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271,3.7271
23,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834
