uID,rec1,rec2,rec3,rec4,rec5,rec6,rec7,rec8,rec9,rec10,rec11,rec12,rec13,rec14,rec15,rec16,rec17,rec18,rec19,rec20,rec21,rec22,rec23,rec24,rec25,rec26,rec27,rec28,rec29,rec30,rec31,rec32,rec33,rec34,rec35,rec36,rec37,rec38,rec39,rec40,rec41,rec42,rec43,rec44,rec45,rec46,rec47,rec48,rec49,rec50,rec51,rec52,rec53,rec54,rec55,rec56,rec57,rec58,rec59,rec60,rec61,rec62,rec63,rec64,rec65,rec66,rec67,rec68,rec69,rec70,rec71,rec72,rec73,rec74,rec75,rec76,rec77,rec78,rec79,rec80,rec81,rec82,rec83,rec84,rec85,rec86,rec87,rec88,rec89,rec90,rec91,rec92,rec93,rec94,rec95,rec96,rec97,rec98,rec99,rec100
1,15.93,2.29,15.35,3.87,3.7199999999999998,16.12,4.9,11.02,8.24,8.52,8.25,10.65,9.09,6.4,1.8200000000000003,1.65,13.260000000000002,12.05,1.62,1.2400000000000002,5.55,14.030000000000001,10.47,1.7299999999999995,13.280000000000001,5.62,12.99,1.7599999999999998,2.96,10.25,15.010000000000002,3.49,5.11,2.9000000000000004,6.84,7.35,11.73,1.1500000000000004,1.0899999999999999,2.02,8.280000000000001,1.6099999999999994,11.899999999999999,0.27,13.33,3.0999999999999996,3.24,3.5199999999999996,3.58,9.649999999999999,17.64,9.11,16.86,11.8,9.33,5.449999999999999,15.91,0.4399999999999995,6.9399999999999995,8.31,11.26,0.8700000000000001,0.6799999999999997,0.73,2.4599999999999995,2.58,11.11,12.25,1.3400000000000007,4.63,11.12,4.85,2.0300000000000002,1.1300000000000003,6.74,5.0600000000000005,4.92,1.8499999999999996,15.33,7.87,15.370000000000001,4.709999999999999,0.44000000000000006,8.780000000000001,0.6,0.050000000000000044,1.38,5.35,12.02,6.500000000000001,7.7299999999999995,15.82,9.23,5.99,14.420000000000002,3.4,6.220000000000001,8.370000000000001,8.96,0.25
5,17.22,5.21,2.76,10.32,0.5700000000000003,6.7700000000000005,9.87,6.63,1.459999999999999,7.34,0.28000000000000025,2.33,8.629999999999999,6.98,5.06,4.61,11.11,4.6499999999999995,0.6399999999999997,8.700000000000001,13.33,8.67,7.06,3.63,5.140000000000001,3.62,4.84,10.3,9.58,2.19,1.2299999999999995,5.63,2.1599999999999993,1.5100000000000007,6.73,11.29,8.37,3.6999999999999997,1.0200000000000005,4.83,6.890000000000001,5.81,6.8100000000000005,5.7,4.2,3.62,11.86,5.2,6.280000000000001,13.05,8.41,12.32,9.41,1.9499999999999997,18.810000000000002,4.97,17.77,14.64,0.019999999999999574,14.23,0.2599999999999998,10.379999999999999,0.4800000000000004,1.9800000000000004,1.0299999999999994,9.6,11.16,5.8,2.7199999999999998,7.94,14.370000000000001,7.92,6.4799999999999995,4.7299999999999995,1.4800000000000004,2.1900000000000004,8.870000000000001,8.78,15.63,1.0099999999999998,10.760000000000002,8.97,13.54,0.009999999999999787,3.8899999999999997,4.130000000000001,4.81,8.86,4.73,2.21,14.09,4.27,7.14,4.45,0.4700000000000002,2.32,1.2799999999999994,5.3,9.85,3.4000000000000004
7,6.85,2.7699999999999996,4.220000000000001,9.61,5.630000000000001,9.53,2.23,6.93,10.32,1.3100000000000005,11.36,12.61,5.49,7.529999999999999,15.95,9.67,4.77,7.0600000000000005,1.31,13.38,6.41,1.4400000000000004,17.96,7.180000000000001,11.969999999999999,1.8600000000000003,11.25,10.07,2.41,7.25,6.6899999999999995,0.5500000000000007,8.43,11.66,0.20999999999999996,3.29,14.989999999999998,7.26,4.06,4.75,9.18,4.56,13.74,7.24,0.040000000000000036,9.129999999999999,5.609999999999999,8.63,5.039999999999999,0.8799999999999999,3.9000000000000004,7.21,8.52,7.380000000000001,3.6799999999999997,6.24,2.7399999999999998,4.32,7.96,4.65,13.260000000000002,0.27999999999999936,8.16,2.12,9.73,12.18,2.4400000000000004,1.4000000000000001,11.469999999999999,9.01,17.76,12.97,10.8,6.64,1.7800000000000002,9.61,0.16000000000000003,15.28,12.100000000000001,4.1000000000000005,2.93,6.03,14.620000000000001,16.09,11.120000000000001,10.2,9.21,4.65,5.8999999999999995,16.810000000000002,0.5999999999999996,1.29,2.52,4.6,2.34,10.530000000000001,6.1000000000000005,7.6000000000000005,2.9299999999999997,3.83
8,0.9199999999999999,0.31,3.4,9.98,1.04,3.6,4.6899999999999995,1.1800000000000006,4.3,4.4799999999999995,4.61,11.52,4.470000000000001,0.8500000000000001,4.27,4.47,4.840000000000001,4.95,5.72,3.73,2.59,8.24,3.9000000000000004,4.800000000000001,1.28,1.25,12.52,5.140000000000001,6.3999999999999995,4.83,0.49000000000000005,4.449999999999999,9.34,7.48,4.57,4.42,10.43,12.65,8.64,11.55,0.8900000000000001,9.45,8.75,12.829999999999998,7.88,0.1299999999999999,3.2499999999999996,0.39000000000000057,1.4299999999999997,3.75,1.5599999999999996,8.89,13.58,5.54,2.18,10.51,0.5700000000000001,9.31,1.8900000000000001,10.13,0.06000000000000005,9.9,11.2,5.23,2.9099999999999997,9.75,7.640000000000001,9.149999999999999,6.57,2.99,8.15,4.609999999999999,11.899999999999999,5.529999999999999,4.32,8.360000000000001,5.67,10.139999999999999,6.75,6.9799999999999995,1.3,3.55,6.91,4.96,1.5899999999999999,0.8200000000000003,6.62,0.94,4.7,5.460000000000001,3.44,6.449999999999999,6.529999999999999,2.23,0.97,8.58,3.55,3.74,8.540000000000001,0.1200000000000001
11,9.809999999999999,4.65,0.9100000000000001,5.34,5.34,5.73,2.5,12.61,6.8,11.46,5.34,0.12,7.1499999999999995,5.6899999999999995,0.74,0.6800000000000002,11.71,12.620000000000001,5.78,4.5200000000000005,11.5,5.95,8.01,5.18,6.7299999999999995,0.4299999999999997,9.79,4.13,9.98,7.98,1.9800000000000004,8.809999999999999,0.56,7.13,9.969999999999999,5.56,13.5,10.43,2.88,3.9000000000000004,3.6500000000000004,15.82,4.2299999999999995,11.059999999999999,0.45999999999999996,0.69,8.86,3.13,1.4400000000000002,8.200000000000001,11.46,8.75,11.5,8.549999999999999,4.68,12.33,1.5999999999999999,2.1100000000000003,0.8600000000000001,9.5,2.1900000000000004,7.33,10.32,7.01,1.0099999999999998,6.34,7.290000000000001,0.1899999999999995,7.33,0.91,10.58,0.28,1.6900000000000002,6.15,4.25,2.25,1.9000000000000001,2.7199999999999998,0.7300000000000001,0.42000000000000004,5.6000000000000005,9.24,12.14,0.7800000000000002,3.42,10.9,13.18,9.07,4.2700000000000005,3.85,2.1100000000000003,1.4499999999999993,11.850000000000001,4.57,3.3600000000000003,3.22,1.4499999999999997,10.379999999999999,14.440000000000001,2.44
13,7.81,5.989999999999999,5.46,15.59,7.5,16.94,2.4299999999999997,11.27,16.479999999999997,9.22,0.75,9.06,5.56,4.930000000000001,3.030000000000001,1.21,2.94,8.77,6.76,9.709999999999999,7.6499999999999995,16.14,0.23999999999999932,0.1999999999999993,3.3899999999999997,1.5299999999999994,17.31,4.26,5.01,1.6400000000000001,1.2400000000000002,14.12,4.58,0.5200000000000005,8.12,14.65,11.280000000000001,4.42,16.53,4.8,11.79,7.209999999999999,2.96,1.2199999999999989,2.710000000000001,15.94,1.8199999999999994,1.25,8.32,0.8999999999999995,6.630000000000001,12.84,6.109999999999999,14.07,17.88,8.61,8.84,6.38,13.8,2.59,11.84,12.25,1.4900000000000002,6.77,0.25,4.75,9.04,8.120000000000001,2.67,15.350000000000001,1.4299999999999997,10.25,6.07,14.69,0.41000000000000014,14.510000000000002,5.57,4.49,15.53,0.71,16.95,4.970000000000001,6.699999999999999,3.8200000000000003,1.7000000000000002,1.12,2.5300000000000002,1.4399999999999995,2.04,10.33,14.8,7.9799999999999995,11.790000000000001,4.949999999999999,2.6399999999999997,18.85,7.32,9.42,16.85,16.48
14,0.7699999999999996,11.44,17.18,17.21,0.54,6.2700000000000005,8.53,6.14,3.120000000000001,8.74,3.1000000000000005,3.62,0.7800000000000002,8.809999999999999,8.43,17.66,9.530000000000001,3.63,2.0,14.85,5.52,6.17,0.71,2.1899999999999995,0.48000000000000004,5.64,1.1799999999999997,8.12,2.3600000000000003,0.8799999999999999,1.6600000000000001,4.15,0.6999999999999993,0.54,11.649999999999999,5.68,3.17,4.79,1.88,17.06,4.48,3.29,2.79,0.4900000000000002,4.62,10.55,13.309999999999999,3.01,18.28,11.83,3.9099999999999997,5.03,5.959999999999999,5.51,3.47,10.68,1.0300000000000002,3.3499999999999996,2.33,14.13,5.359999999999999,12.43,12.93,2.3299999999999996,8.56,7.92,1.4799999999999995,7.98,15.58,6.17,6.99,6.640000000000001,13.96,1.7599999999999998,11.23,10.83,0.7599999999999998,9.45,7.69,11.219999999999999,8.36,8.07,15.899999999999999,1.83,18.77,9.14,14.469999999999999,7.449999999999999,12.19,8.209999999999999,4.07,12.540000000000001,5.74,17.93,2.6100000000000003,0.9599999999999991,14.32,10.0,4.94,1.1400000000000001
15,10.12,12.23,4.1899999999999995,8.06,1.6099999999999999,2.9800000000000004,5.5,7.34,11.030000000000001,0.75,5.54,7.48,1.8399999999999999,5.220000000000001,7.27,5.04,2.9000000000000004,2.84,7.81,1.04,3.13,10.57,0.8700000000000001,3.5,9.540000000000001,5.0600000000000005,0.16,3.0800000000000005,2.64,0.7600000000000007,8.2,9.34,12.989999999999998,12.469999999999999,0.029999999999999805,1.25,9.05,7.319999999999999,8.280000000000001,5.930000000000001,5.199999999999999,1.55,2.31,2.03,2.88,0.27000000000000046,3.2199999999999998,3.06,13.27,0.96,3.3899999999999997,6.41,6.470000000000001,13.29,3.31,1.9499999999999997,1.7699999999999996,8.530000000000001,11.530000000000001,2.1799999999999997,7.459999999999999,8.51,8.63,5.960000000000001,2.68,13.01,7.26,4.79,4.7,9.77,4.03,7.61,8.24,3.4700000000000006,2.2,6.209999999999999,1.44,1.7599999999999998,0.11000000000000032,0.7399999999999998,0.29000000000000004,6.190000000000001,5.41,0.6200000000000001,2.79,12.059999999999999,9.89,2.75,2.27,9.26,15.54,9.39,6.35,6.66,3.83,2.6500000000000004,3.85,0.3900000000000001,1.5699999999999994,6.8999999999999995
17,4.87,5.69,6.470000000000001,9.38,4.869999999999999,6.1,2.9700000000000006,13.09,13.129999999999999,7.2299999999999995,11.52,3.0900000000000003,2.1799999999999997,4.84,6.51,6.2,8.07,7.630000000000001,1.0500000000000007,4.93,1.0799999999999996,1.88,5.459999999999999,2.63,8.56,4.0,3.8800000000000003,14.85,7.550000000000001,9.09,13.61,3.61,1.1900000000000002,6.62,2.1999999999999997,1.2799999999999998,13.41,11.989999999999998,7.720000000000001,7.02,16.35,5.92,7.43,2.29,6.99,4.93,2.7800000000000002,10.76,9.02,7.27,3.0300000000000002,15.64,6.74,1.6799999999999997,7.0,3.0100000000000002,9.44,8.219999999999999,4.58,0.3899999999999997,6.109999999999999,8.219999999999999,2.88,2.54,2.42,7.8100000000000005,5.3,15.530000000000001,8.51,2.5999999999999996,0.73,8.91,4.0,4.5200000000000005,13.370000000000001,5.03,5.6,2.16,3.6999999999999997,12.27,2.0500000000000003,4.87,3.2,6.64,4.2,12.13,5.33,0.5,0.6500000000000004,12.04,8.41,6.41,3.58,10.23,6.710000000000001,1.25,3.54,2.69,7.22,5.5200000000000005
23,7.91,2.26,15.1,4.029999999999999,8.14,4.34,4.029999999999999,1.1,8.85,13.4,16.6,4.0,3.93,9.600000000000001,3.1999999999999997,2.6400000000000006,12.649999999999999,15.56,0.8200000000000001,12.52,1.4700000000000002,16.04,1.8900000000000006,4.06,2.7,10.549999999999999,1.6800000000000002,4.91,13.84,6.92,8.309999999999999,6.37,1.2199999999999998,5.279999999999999,2.59,1.8200000000000003,12.95,8.46,7.359999999999999,13.899999999999999,3.25,9.04,13.76,6.04,3.8600000000000003,4.550000000000001,4.5600000000000005,13.49,10.649999999999999,8.799999999999999,0.95,4.18,5.359999999999999,15.010000000000002,13.43,7.720000000000001,5.42,5.3,7.74,11.219999999999999,15.84,16.75,14.469999999999999,5.26,1.1900000000000004,2.4899999999999998,5.279999999999999,13.14,6.0,9.89,18.36,9.629999999999999,10.57,13.51,13.55,2.1499999999999995,4.17,1.62,1.3600000000000003,1.06,3.84,3.3,5.17,4.1899999999999995,7.76,11.77,7.92,10.219999999999999,6.29,6.33,4.67,0.040000000000000036,5.16,13.46,0.8599999999999994,0.64,1.080000000000001,7.52,1.46,4.079999999999999
