uID,rec1,rec2,rec3,rec4,rec5,rec6,rec7,rec8,rec9,rec10,rec11,rec12,rec13,rec14,rec15,rec16,rec17,rec18,rec19,rec20,rec21,rec22,rec23,rec24,rec25,rec26,rec27,rec28,rec29,rec30,rec31,rec32,rec33,rec34,rec35,rec36,rec37,rec38,rec39,rec40,rec41,rec42,rec43,rec44,rec45,rec46,rec47,rec48,rec49,rec50,rec51,rec52,rec53,rec54,rec55,rec56,rec57,rec58,rec59,rec60,rec61,rec62,rec63,rec64,rec65,rec66,rec67,rec68,rec69,rec70,rec71,rec72,rec73,rec74,rec75,rec76,rec77,rec78,rec79,rec80,rec81,rec82,rec83,rec84,rec85,rec86,rec87,rec88,rec89,rec90,rec91,rec92,rec93,rec94,rec95,rec96,rec97,rec98,rec99,rec100
1,6.748,2.578,5.822,6.268,8.058,8.158000000000001,1.948,6.898,7.528,3.888,7.8180000000000005,7.918,1.5020000000000002,0.04799999999999993,5.248,2.338,7.8180000000000005,4.022,8.398,7.478000000000001,1.9979999999999998,1.012,6.162,5.678,0.2420000000000001,5.142,3.7379999999999995,4.172000000000001,5.388,6.9479999999999995,7.522,1.792,9.852,7.8180000000000005,6.318,4.652,3.6479999999999997,0.09200000000000008,3.838,3.258,8.207999999999998,6.6979999999999995,0.04799999999999993,8.207999999999998,7.088,1.742,0.29800000000000004,2.818,8.347999999999999,5.538,1.6920000000000002,0.04200000000000004,10.482,6.998,1.552,8.158000000000001,4.028,3.7379999999999995,2.868,2.282,6.168,1.2120000000000002,5.142,0.772,3.598,3.6879999999999997,5.772,3.202,3.108,7.038,1.742,1.112,7.377999999999999,0.248,6.608,0.1479999999999999,2.132,0.48200000000000004,7.8180000000000005,2.4779999999999998,2.962,4.652,3.258,2.622,6.508,0.8720000000000001,3.548,8.207999999999998,1.112,5.928,4.022,4.028,5.722,8.158000000000001,2.032,7.8180000000000005,0.7220000000000001,2.238,7.322,2.962
5,5.822,8.642,5.822,3.0020000000000002,4.362,10.242,9.322,9.512,5.142,1.452,4.5120000000000005,6.312,6.0120000000000005,1.9420000000000002,10.091999999999999,10.672,2.622,2.232,7.7620000000000005,1.5020000000000002,7.912,5.532,0.29200000000000004,2.762,10.382000000000001,8.591999999999999,6.312,6.992,2.372,6.5520000000000005,8.302,4.272,10.632000000000001,4.272,3.052,3.102,8.732,6.352,8.882000000000001,8.442,8.102,6.942,1.1620000000000001,4.752000000000001,4.362,7.862,8.732,7.322,7.472,7.182,3.832,7.812,7.032,9.751999999999999,6.892,9.902000000000001,6.942,6.062,4.022,7.7620000000000005,2.762,6.502,7.032,3.0020000000000002,2.7119999999999997,10.091999999999999,5.432,0.248,5.142,7.472,3.682,3.782,5.042,0.38200000000000006,10.242,1.112,7.132,1.5020000000000002,4.172000000000001,0.3320000000000001,0.09200000000000008,1.4020000000000001,5.242,1.312,3.682,1.6920000000000002,3.202,9.652000000000001,7.422,9.802,5.872,10.482,7.712,9.411999999999999,3.102,10.632000000000001,4.752000000000001,0.772,7.622,6.212
7,2.962,6.502,6.2620000000000005,9.802,0.5879999999999999,0.922,1.318,4.858,8.782,7.7620000000000005,6.408,5.532,6.748,2.718,5.242,7.962,7.282,4.992,8.251999999999999,0.29200000000000004,3.982,5.332,4.022,0.532,8.347999999999999,7.032,8.448,4.2219999999999995,5.008,3.442,2.082,9.952000000000002,5.242,2.628,7.912,8.682,0.778,0.8220000000000001,8.152000000000001,6.942,1.262,10.672,0.922,6.892,8.982,10.722000000000001,6.502,8.682,0.488,10.632000000000001,7.377999999999999,8.108,4.172000000000001,10.042000000000002,2.338,6.018,9.751999999999999,2.1879999999999997,6.0120000000000005,5.242,10.722000000000001,2.968,1.1620000000000001,0.7220000000000001,3.732,4.612,4.952,0.29800000000000004,2.912,9.902000000000001,9.702000000000002,6.2620000000000005,0.922,8.001999999999999,5.382,4.272,1.658,8.202,0.978,7.032,10.722000000000001,1.112,9.072,0.3320000000000001,0.8720000000000001,6.608,4.072,9.852,8.448,1.9420000000000002,0.19799999999999995,4.992,5.042,3.348,3.202,6.792,2.5220000000000002,0.488,8.782,1.062
8,1.112,4.2219999999999995,1.112,0.5879999999999999,4.022,1.112,1.112,1.112,0.5879999999999999,1.112,4.612,1.112,7.712,0.04200000000000004,3.932,0.3879999999999999,1.112,0.3879999999999999,3.732,6.112,3.052,0.1479999999999999,4.028,1.112,4.362,1.112,8.682,9.562000000000001,7.322,1.112,1.112,3.732,6.112,2.862,9.562000000000001,1.112,1.112,1.112,0.29200000000000004,2.422,2.968,4.028,1.112,1.112,1.018,2.232,10.242,7.812,7.812,0.5879999999999999,7.712,4.908,1.798,9.562000000000001,5.672,3.838,5.582,6.162,5.538,7.132,6.112,4.362,0.5879999999999999,7.812,1.112,3.7379999999999995,1.112,9.751999999999999,2.422,2.662,1.018,1.112,3.158,5.772,0.5879999999999999,4.2219999999999995,4.022,4.172000000000001,3.598,1.112,1.4579999999999997,1.112,1.112,2.528,4.278,3.348,1.312,5.242,3.548,3.348,1.112,1.112,0.1479999999999999,4.708,2.528,0.29200000000000004,2.088,4.028,5.538,5.538
11,4.708,0.6379999999999999,3.392,0.8779999999999999,1.608,0.09799999999999998,6.748,4.122,1.792,3.008,0.7220000000000001,1.608,2.862,0.9720000000000001,1.112,2.862,4.808,2.1820000000000004,0.488,5.432,2.232,5.778,0.19200000000000006,6.112,3.202,1.4020000000000001,0.538,0.29200000000000004,0.9279999999999999,4.618,2.962,4.178,0.6379999999999999,0.2420000000000001,3.592,3.258,4.612,2.8120000000000003,2.628,0.978,2.238,0.532,3.102,1.7479999999999998,5.922,8.052,5.972,1.452,0.8779999999999999,0.29800000000000004,0.29800000000000004,3.202,0.007999999999999896,1.218,5.388,0.14200000000000002,0.8220000000000001,1.218,0.5820000000000001,3.732,2.082,3.342,1.218,1.062,3.2520000000000002,0.14200000000000002,1.312,0.09200000000000008,1.5579999999999998,2.622,5.292,0.09200000000000008,5.192,2.1820000000000004,1.4020000000000001,4.328,1.218,2.472,1.508,1.312,0.9279999999999999,5.148,0.672,6.798,3.4479999999999995,7.712,1.452,1.5579999999999998,0.9720000000000001,3.6879999999999997,1.5020000000000002,3.682,1.608,2.4779999999999998,0.6379999999999999,3.442,1.658,4.322,1.0679999999999998,3.838
13,3.598,8.448,8.158000000000001,7.338,7.528,7.287999999999999,7.867999999999999,7.768,7.967999999999999,6.318,7.627999999999999,5.4879999999999995,6.608,8.258,7.717999999999999,0.04799999999999993,7.528,8.398,8.108,6.018,6.798,6.748,8.108,5.048,3.258,4.758,0.38200000000000006,7.372,8.258,7.967999999999999,8.108,8.392,8.498000000000001,8.108,7.962,8.398,6.748,8.052,2.868,2.918,7.962,7.717999999999999,5.678,8.398,0.9279999999999999,9.952000000000002,5.978,0.248,8.158000000000001,7.867999999999999,4.708,10.632000000000001,7.528,7.338,6.798,2.528,6.9479999999999995,2.678,8.347999999999999,3.202,4.178,9.512,7.032,2.038,10.091999999999999,7.377999999999999,8.347999999999999,6.742,4.618,5.538,7.238,0.34799999999999986,7.967999999999999,6.608,6.608,3.058,8.152000000000001,7.377999999999999,6.408,1.2679999999999998,1.6520000000000001,9.271999999999998,1.842,8.347999999999999,5.148,8.398,6.318,8.448,6.602,8.302,1.112,8.982,7.627999999999999,8.207999999999998,7.377999999999999,7.377999999999999,7.867999999999999,7.478000000000001,8.058,0.672
14,7.867999999999999,4.028,10.292000000000002,1.8980000000000001,3.598,0.3320000000000001,4.612,2.8120000000000003,7.088,1.262,7.478000000000001,0.3320000000000001,4.562,7.862,10.292000000000002,3.208,6.602,6.792,1.6520000000000001,5.048,6.742,9.562000000000001,5.192,5.142,5.248,6.312,3.598,5.432,4.228,5.872,8.102,2.528,5.672,3.392,8.492,4.322,4.612,4.5120000000000005,4.028,7.478000000000001,5.632,1.352,6.6979999999999995,4.418,8.442,0.34799999999999986,7.8180000000000005,0.8779999999999999,2.422,2.968,8.832,1.4020000000000001,7.867999999999999,9.652000000000001,5.1979999999999995,6.9479999999999995,3.202,10.332,3.208,7.867999999999999,3.982,6.652,6.5520000000000005,2.768,7.717999999999999,7.867999999999999,8.058,1.1620000000000001,7.768,10.042000000000002,2.378,3.6879999999999997,7.572,4.278,9.361999999999998,4.808,8.782,10.332,9.411999999999999,1.7479999999999998,7.967999999999999,9.802,5.772,2.718,3.782,9.172,1.5020000000000002,5.632,7.862,0.6379999999999999,0.29800000000000004,5.728,3.832,2.868,5.672,10.332,2.718,2.338,3.832,8.732
15,5.588,0.728,0.8279999999999998,5.388,2.472,1.9420000000000002,5.042,3.6479999999999997,4.568,0.3320000000000001,1.218,4.122,1.012,4.952,6.742,1.6920000000000002,5.192,4.2219999999999995,0.29200000000000004,2.238,3.682,0.978,0.8779999999999999,3.3979999999999997,4.702,2.288,7.082,1.5020000000000002,1.698,5.1979999999999995,8.001999999999999,4.462,1.5020000000000002,3.108,3.782,3.3979999999999997,4.078,0.1479999999999999,0.8220000000000001,1.992,3.052,3.202,4.908,6.218,4.708,2.628,0.6320000000000001,4.362,4.952,4.418,0.5820000000000001,1.9979999999999998,2.8120000000000003,3.108,5.148,3.102,0.19799999999999995,6.062,4.958,4.752000000000001,2.088,4.908,2.378,5.482,3.348,8.782,1.5020000000000002,3.3979999999999997,5.292,3.102,6.458,5.192,4.5120000000000005,2.918,3.592,4.322,7.622,1.508,6.992,4.272,2.578,5.332,1.112,1.168,2.762,7.422,7.422,6.502,3.3979999999999997,1.312,1.2120000000000002,3.782,3.2520000000000002,0.19200000000000006,4.652,3.108,2.1820000000000004,4.612,4.022,5.872
17,4.858,0.9279999999999999,2.238,2.768,2.868,6.508,0.6320000000000001,1.7479999999999998,2.338,6.798,4.278,5.638,0.8720000000000001,0.5820000000000001,0.007999999999999896,4.568,0.532,6.658,0.34799999999999986,4.708,4.808,3.838,6.898,4.278,5.678,1.798,6.358,6.508,2.868,4.668,4.858,6.358,2.678,1.698,0.3879999999999999,6.558,1.698,2.288,0.1479999999999999,3.058,0.6320000000000001,3.108,4.958,4.908,3.888,4.808,2.4779999999999998,5.928,0.007999999999999896,0.29200000000000004,0.2420000000000001,0.3320000000000001,2.918,4.228,5.828,0.248,7.038,0.9720000000000001,7.138,2.818,0.3320000000000001,0.7220000000000001,2.038,1.552,1.318,7.428,3.838,3.258,3.108,2.968,0.248,1.608,7.238,3.3979999999999997,4.758,0.1479999999999999,0.007999999999999896,5.008,1.798,6.848,1.658,1.408,2.032,3.0020000000000002,6.798,6.658,2.868,7.038,0.19799999999999995,2.238,2.968,2.338,6.798,0.04200000000000004,0.1479999999999999,0.1479999999999999,1.608,3.308,5.098,1.9979999999999998
23,3.348,7.082,2.4779999999999998,0.6779999999999999,9.512,0.778,2.1820000000000004,7.132,7.962,8.682,1.8479999999999999,8.202,4.958,1.742,6.112,1.062,9.172,9.222000000000001,4.902,2.032,1.602,8.392,9.021999999999998,5.142,9.852,6.402,5.242,0.7220000000000001,0.6320000000000001,2.238,4.122,2.038,5.978,0.728,5.828,0.7220000000000001,9.361999999999998,5.638,6.0120000000000005,3.158,1.4579999999999997,6.608,1.1620000000000001,1.948,0.3879999999999999,0.7220000000000001,4.802,0.09799999999999998,1.6520000000000001,2.628,1.218,0.922,2.718,4.468,0.922,5.148,8.931999999999999,0.34799999999999986,5.872,6.458,4.322,4.958,5.242,10.332,4.518,5.388,4.908,7.428,7.678,1.992,4.708,1.312,7.627999999999999,7.678,7.338,1.2679999999999998,1.4020000000000001,2.768,1.452,7.678,4.078,5.388,1.8980000000000001,7.428,2.288,6.652,0.43200000000000005,6.6979999999999995,6.608,1.742,5.098,6.998,1.5020000000000002,0.48200000000000004,6.458,3.9379999999999997,0.43200000000000005,5.048,7.528,0.8720000000000001
