uID,rec1,rec2,rec3,rec4,rec5,rec6,rec7,rec8,rec9,rec10,rec11,rec12,rec13,rec14,rec15,rec16,rec17,rec18,rec19,rec20,rec21,rec22,rec23,rec24,rec25,rec26,rec27,rec28,rec29,rec30,rec31,rec32,rec33,rec34,rec35,rec36,rec37,rec38,rec39,rec40,rec41,rec42,rec43,rec44,rec45,rec46,rec47,rec48,rec49,rec50,rec51,rec52,rec53,rec54,rec55,rec56,rec57,rec58,rec59,rec60,rec61,rec62,rec63,rec64,rec65,rec66,rec67,rec68,rec69,rec70,rec71,rec72,rec73,rec74,rec75,rec76,rec77,rec78,rec79,rec80,rec81,rec82,rec83,rec84,rec85,rec86,rec87,rec88,rec89,rec90,rec91,rec92,rec93,rec94,rec95,rec96,rec97,rec98,rec99,rec100
1,3.16,7.14,8.74,8.88,4.37,8.64,8.64,0.05,7.09,7.77,7.82,6.36,8.98,8.98,-2.14,4.08,-6.5,7.33,6.99,9.17,9.03,9.03,4.47,8.3,7.72,-0.87,1.07,0.34,0.1,9.22,8.2,4.85,3.4,-9.66,-0.29,-4.32,8.35,-9.03,-4.32,7.52,8.64,7.91,8.98,0.87,-3.83,3.93,4.51,-2.14,-1.21,8.64,7.57,2.82,9.03,6.75,8.64,7.43,2.77,6.07,6.21,-0.19,3.3,3.06,0.73,-5.34,7.86,-4.9,-5.0,-0.05,-3.2,4.08,-4.95,4.85,6.5,4.71,-3.2,3.69,0.58,0.87,-0.73,-6.7,-0.92,-0.29,-0.97,4.56,-0.68,1.12,-2.38,0.97,-1.8,-1.31,0.78,-0.92,-3.83,4.42,-1.46,3.64,-0.39,-3.35,4.66,4.56
5,-0.68,-0.63,-5.68,-0.87,-1.8,-0.49,-1.41,-2.18,-3.54,-3.54,-3.01,-6.07,-1.55,-5.24,-8.06,0.05,-7.09,-8.69,-1.94,-6.17,-3.69,-7.91,-0.34,-2.28,-2.96,-2.18,-1.12,-6.12,-5.0,-3.2,-3.35,0.53,-4.22,-6.21,-5.19,-9.42,-0.58,-9.27,0.49,-6.5,-0.68,-1.94,-2.38,-8.98,-6.65,-9.81,-6.65,-7.04,-6.36,-7.82,-6.8,-9.81,-5.49,-9.08,-5.73,-3.45,-5.53,-8.59,-6.94,-5.49,-7.91,0.44,-2.86,-2.28,-4.71,-6.99,-9.66,-3.93,-6.12,-9.27,-4.61,-2.23,-6.6,-2.86,-6.89,-7.62,-5.05,-8.83,-3.93,-5.39,-3.45,-6.21,-0.29,-4.32,-4.42,-8.5,1.07,-6.94,-5.0,-1.89,-4.32,-9.42,-7.28,-9.56,-7.77,-7.48,-9.85,-8.93,-6.31,0.73
7,-4.42,7.57,-8.16,7.43,-5.44,-7.18,1.6,-7.09,-4.42,-2.14,-7.43,3.45,3.16,3.01,6.84,-0.24,5.68,-0.1,8.2,-0.1,9.27,7.23,-7.33,1.31,-1.26,-0.34,-4.71,8.93,-5.68,-9.03,3.79,-3.16,4.17,-7.86,1.41,2.14,9.27,3.54,1.12,-6.46,-6.12,-3.35,-9.81,-4.22,9.17,-7.96,-4.13,-3.4,-2.09,-8.98,1.02,-3.45,-4.42,-2.62,-6.94,0.29,-3.25,-7.96,2.48,-5.19,-3.79,-0.44,0.1,-2.91,-9.22,-3.2,-8.93,-6.07,-0.1,1.31,-1.12,-9.9,-0.29,-1.7,-5.97,-7.38,-6.21,1.8,-2.38,-4.17,0.0,0.49,-0.05,-4.56,-5.44,-6.21,-5.68,-4.17,-7.14,-9.9,-4.51,-8.88,0.53,5.83,-9.13,-9.85,-7.86,-8.25,-9.08,-9.9
8,4.56,1.41,3.98,5.53,0.53,0.53,3.35,6.36,-0.29,1.84,4.85,4.85,6.36,1.21,4.85,4.17,2.91,-0.49,1.41,4.37,-0.29,6.36,-0.29,0.97,-0.29,-0.29,-0.29,-0.29,-0.29,2.28,0.97,-0.29,-0.29,1.84,-0.29,-0.29,-0.29,5.73,-0.29,-4.76,4.17,-2.91,4.42,5.1,4.66,-0.29,-2.04,-2.23,-3.2,-3.54,-0.29,-1.84,-0.29,-0.29,-4.95,1.41,-4.42,-0.29,-1.6,-3.2,0.78,1.41,1.41,-3.4,-3.11,-3.79,-0.29,-3.4,-6.89,-3.54,-1.6,3.79,-9.42,3.35,-3.35,-6.5,-5.29,-0.29,-5.34,2.62,-0.29,-6.99,-7.86,-6.31,-6.99,-1.41,-2.91,-0.29,-0.29,-6.99,-5.29,-0.29,1.21,-6.89,-5.29,-8.74,-8.74,-8.74,-8.93,-4.85
11,0.73,5.97,-1.8,5.15,5.53,6.6,5.0,7.57,4.27,7.62,-2.77,6.21,-2.43,-0.49,-2.57,4.66,2.43,0.15,1.12,3.3,-0.24,0.73,-0.49,2.48,3.06,2.38,-3.3,2.04,1.46,2.04,0.29,-0.97,-4.47,-1.26,3.83,1.7,-0.15,0.83,-1.99,0.68,-1.65,0.24,2.38,-2.62,1.7,0.58,5.44,-2.52,-0.58,0.92,-0.58,3.45,0.1,-0.15,1.75,1.12,1.89,-3.5,2.33,1.46,-3.79,-1.41,2.04,2.43,5.63,-2.04,-2.86,0.63,-1.36,2.57,-0.68,1.31,4.08,-0.63,2.04,-2.38,1.46,0.53,0.68,-4.61,1.75,1.8,-0.29,-1.36,-7.23,4.51,0.0,-2.28,2.43,-0.63,-2.91,-5.1,-2.14,1.36,-2.38,-5.15,-4.37,-5.29,-6.89,-2.04
13,8.98,9.27,9.22,8.06,9.17,2.86,-5.78,5.97,8.59,4.42,6.31,3.74,7.23,8.45,9.27,-0.29,5.0,9.22,8.2,8.88,9.08,8.35,9.08,9.17,8.54,7.14,9.32,8.35,9.22,7.77,6.5,8.98,8.69,7.43,-7.23,7.57,8.79,8.79,4.08,5.87,9.22,8.54,8.93,8.2,7.62,8.11,1.17,8.93,6.8,0.87,8.35,-6.55,1.75,7.62,8.16,7.57,-7.14,8.45,7.43,8.93,3.69,-5.92,5.44,0.44,5.58,3.35,8.69,-9.81,-7.14,6.36,8.3,-2.38,7.43,0.15,7.14,5.53,8.2,9.17,8.69,-1.02,6.84,8.2,8.79,9.03,8.16,-7.33,-6.21,1.07,3.5,-8.16,-9.13,2.09,-9.27,-0.83,3.88,-8.69,-8.45,-7.57,-7.48,8.93
14,7.77,-7.96,-8.59,8.59,8.69,7.52,1.17,2.72,-8.74,0.49,-8.01,-8.98,8.69,1.12,-8.35,-7.91,-0.83,-9.22,4.85,-0.44,-9.51,-5.92,5.87,8.69,-3.79,6.55,-5.97,-9.51,-3.01,-0.53,3.16,-7.04,6.07,-3.69,-0.34,-5.49,4.85,-9.47,-2.96,-7.62,-5.73,-4.95,-5.83,4.03,4.03,8.69,3.59,-0.68,3.54,8.3,-4.85,-4.61,-3.01,-8.54,-2.57,8.79,0.49,1.46,-4.81,-4.32,-4.81,8.3,5.1,-5.05,3.54,-6.75,3.2,-9.51,3.69,-8.83,8.54,-2.38,2.57,8.64,-1.6,5.63,-5.78,-0.58,6.02,3.35,-4.85,-7.28,-4.37,5.24,1.7,-3.79,8.88,-7.67,4.42,-7.04,-1.99,-3.5,-9.47,-3.74,7.91,5.05,3.79,-3.16,4.51,4.42
15,5.97,5.24,5.78,5.73,-7.18,0.19,5.39,5.73,-2.96,3.2,1.8,3.93,6.02,0.53,4.22,-5.05,2.82,-2.43,4.9,-6.6,4.47,-1.99,-0.68,0.63,-3.88,-3.4,6.21,3.45,6.41,-4.66,4.22,-1.12,3.4,5.53,-4.22,1.65,-6.6,4.17,4.22,-3.64,0.24,-0.87,-0.49,-3.79,7.04,-0.68,-2.28,-3.54,-5.92,1.55,1.02,0.0,-1.65,2.04,-3.5,0.97,3.93,-1.36,2.33,-1.94,1.7,-4.13,1.99,-3.45,-0.19,0.49,-3.83,2.52,-3.3,-4.47,-3.2,3.11,7.28,-0.39,-5.68,-1.17,3.74,3.93,-2.77,-2.96,3.06,-2.28,-6.26,-4.51,-3.93,-0.29,-7.96,-2.38,-2.86,-6.17,-4.37,2.91,-2.23,-4.13,-3.69,-5.24,-6.8,-4.37,4.22,-0.68
17,1.07,2.62,3.64,6.65,-2.18,3.69,7.86,7.62,3.88,7.86,7.38,5.78,5.92,4.66,2.82,4.13,7.48,0.78,2.43,0.97,5.73,5.63,3.79,5.68,1.21,3.93,7.33,6.5,7.62,3.11,0.19,7.33,3.06,2.52,2.52,3.5,5.83,5.58,3.69,0.53,0.83,5.53,3.3,0.97,6.75,-0.15,3.93,2.86,1.17,0.24,5.68,5.1,7.96,0.49,8.25,2.48,0.83,3.69,4.08,3.79,2.62,7.72,2.14,8.06,5.49,1.07,4.71,5.39,4.66,5.63,3.16,-0.05,3.16,7.48,1.75,0.29,5.1,7.18,7.62,3.59,7.18,0.49,0.19,4.22,6.46,1.02,3.74,2.43,0.1,0.83,3.06,0.58,0.97,-1.21,0.97,7.67,2.23,-0.73,5.05,2.57
23,8.5,8.5,7.43,7.82,6.21,2.67,4.9,5.87,8.25,8.16,5.34,-0.1,-0.68,7.28,7.52,0.34,0.39,8.25,3.06,3.45,3.98,5.53,6.21,8.35,8.45,-9.51,6.46,5.78,-0.49,-1.17,2.77,0.1,3.11,-0.1,3.54,2.04,3.59,5.97,7.43,5.78,-0.92,2.86,2.72,-0.05,-4.42,5.29,-8.35,6.8,0.19,-0.34,-5.83,5.73,0.1,-0.78,-0.58,-0.83,4.76,7.28,8.5,-0.63,6.65,-7.38,1.55,5.92,1.17,0.1,0.39,-1.21,0.92,1.21,-3.5,-0.92,-0.24,2.09,2.28,3.3,-3.3,-8.69,-4.42,-7.57,-5.19,-6.31,-1.36,-8.2,-8.54,-8.11,-5.29,-7.14,4.17,1.6,-4.08,-8.4,-6.26,-5.58,-9.03,-7.86,1.5,-5.05,-4.32,-3.98
