"uID" "rec1" "rec2" "rec3" "rec4" "rec5" "rec6" "rec7" "rec8" "rec9" "rec10" "rec11" "rec12" "rec13" "rec14" "rec15" "rec16" "rec17" "rec18" "rec19" "rec20" "rec21" "rec22" "rec23" "rec24" "rec25" "rec26" "rec27" "rec28" "rec29" "rec30" "rec31" "rec32" "rec33" "rec34" "rec35" "rec36" "rec37" "rec38" "rec39" "rec40" "rec41" "rec42" "rec43" "rec44" "rec45" "rec46" "rec47" "rec48" "rec49" "rec50" "rec51" "rec52" "rec53" "rec54" "rec55" "rec56" "rec57" "rec58" "rec59" "rec60" "rec61" "rec62" "rec63" "rec64" "rec65" "rec66" "rec67" "rec68" "rec69" "rec70" "rec71" "rec72" "rec73" "rec74" "rec75" "rec76" "rec77" "rec78" "rec79" "rec80" "rec81" "rec82" "rec83" "rec84" "rec85" "rec86" "rec87" "rec88" "rec89" "rec90" "rec91" "rec92" "rec93" "rec94" "rec95" "rec96" "rec97" "rec98" "rec99" "rec100"
1 16.4737 14.0037 0.7537 7.0637 16.1337 15.8937 15.8937 10.6537 16.2837 12.1037 15.9937 6.9637 8.1237 13.7537 10.0737 6.3837 2.3037 11.3337 2.9337 16.4237 11.1837 5.1137 11.7637 15.1137 13.6137 12.1037 10.3137 16.2337 15.4537 10.8937 11.3337 3.4237 14.9737 6.2837 15.6037 13.4637 13.3237 16.2337 6.5237 16.2837 7.2037 7.3037 6.8637 7.3537 6.3337 5.7937 5.9437 5.4537 15.1637 8.3237 6.9637 15.5537 14.8237 2.4063 11.8137 10.9437 14.3437 14.5837 7.5937 8.3737 3.9037 8.0337 3.4237 4.0537 11.9637 14.3937 15.0237 15.8937 1.7763 6.3337 15.0737 14.2437 7.9837 15.8937 4.8737 11.7237 16.2837 0.5537 6.0437 2.3537 8.2237 8.1237 10.0237 14.7737 7.8337 4.0537 11.6237 14.6837 11.6737 2.2537 10.4137 2.9337 6.5737 16.2337 11.9137 5.1137 15.8937 1.9137 10.5537 11.8137
5 11.3577 8.6877 11.5477 6.2077 5.0877 14.2177 14.9477 14.2677 11.9377 9.8977 12.0377 9.6577 14.2177 13.0977 10.1877 12.9577 7.9577 8.0077 7.8077 10.9677 10.9677 12.9577 13.7777 8.2477 15.3877 12.7177 10.5777 7.2777 14.4077 8.7777 9.8477 10.6777 11.3577 8.7277 13.3477 9.7077 5.2377 8.0977 5.8177 8.3977 14.5577 8.8277 8.6877 6.9877 9.4077 7.8577 12.0377 10.2877 6.9877 15.9677 7.0777 5.4777 7.6177 8.2477 6.3077 11.6977 14.6077 6.3977 8.7777 5.9177 11.2077 12.7177 13.0077 10.4777 6.8377 8.5377 12.6677 13.4877 5.6277 14.3177 7.9577 11.8877 9.2177 9.5077 12.5177 9.3677 15.3377 6.0677 12.6177 15.4277 11.4477 9.1677 12.6177 7.1277 10.5777 7.4177 5.4777 11.4477 5.6277 5.0877 9.4077 8.5877 5.3377 8.2977 5.9677 7.9077 15.6277 14.0277 9.8977 5.0477
7 13.9869 9.7669 12.2869 7.9669 4.2269 15.9269 6.2669 14.1869 14.5269 9.1869 2.5769 12.2869 21.3169 12.1469 12.4869 12.2869 6.3169 3.4569 5.2069 10.0069 11.2669 6.4169 5.2969 8.2569 12.8769 11.1269 9.0369 19.2269 6.7069 6.9469 13.4069 2.4869 4.9569 8.5969 21.5569 7.9669 15.8369 10.2969 13.5069 19.8169 21.6569 16.1769 14.8669 8.9369 4.5269 8.1669 15.3969 15.5469 13.6969 5.0569 12.6769 9.2269 2.5369 6.7069 3.3569 13.6969 3.1669 7.8769 12.0469 10.2469 6.1769 5.2469 16.5569 6.1769 4.1369 3.4069 5.0069 5.9269 19.9569 19.6169 18.0669 7.1969 10.6869 9.1369 12.3869 7.6769 13.7969 4.4269 20.5869 9.4769 2.4869 3.5069 7.8269 8.2169 12.3369 8.9869 18.2169 4.4269 6.9469 5.4469 7.9669 12.9169 2.4869 3.2569 21.6569 4.5269 11.9469 8.2169 3.3069 12.0969
8 17.1544 15.3544 14.9644 10.5044 12.0044 10.5044 11.7644 12.6344 16.3244 10.5044 12.2044 15.6444 14.9644 11.3244 15.6444 11.3244 10.5044 10.5044 14.1444 10.5044 17.1544 12.6344 10.5044 15.6444 11.7644 10.3044 10.5044 16.5244 8.5644 15.1644 10.5044 10.5044 10.5044 10.5044 10.5044 13.0744 7.5944 10.5044 17.1544 7.3944 15.2144 10.5044 6.0344 7.5944 12.2044 7.3944 6.3744 12.2044 12.2044 8.9544 12.2044 5.5044 10.5044 7.8844 10.5044 10.5044 8.7544 7.4444 9.1944 7.8844 10.5044 15.8944 13.7044 15.4544 5.8444 10.5044 5.9444 4.4844 5.5044 14.7744 3.9044 11.5744 1.3744 14.5844 10.5044 10.5044 7.6844 7.2544 3.9044 7.0044 10.5044 10.5044 7.2544 9.1944 14.1444 2.9344 3.8044 1.8644 13.4144 9.3844 2.0544 2.0544 5.4544 2.0544 12.0044 4.2944 10.5044 3.8044 5.5044 3.8044
11 17.1791 17.1291 16.1591 15.7691 14.7091 15.5291 13.8291 6.7891 12.6191 13.6391 9.3191 8.1491 7.1291 9.0691 9.7991 11.9391 10.2891 11.0191 10.6791 9.0691 9.8491 11.2591 8.5891 11.5991 8.1991 11.4491 11.9391 6.9891 10.2391 11.0191 11.9891 13.3891 14.9991 11.3091 13.0091 8.9791 14.2191 8.9791 8.9291 11.3091 9.6591 7.5191 9.4091 10.4791 11.0191 9.7091 9.2691 6.9391 9.4091 10.3891 14.5591 12.0391 14.0691 11.5991 8.9291 10.8691 11.3591 11.8891 7.2791 11.5991 8.2991 7.7591 10.2391 11.2591 12.8591 15.0891 6.2591 7.0391 11.9891 15.1891 10.0891 10.1891 10.1391 12.1291 8.1991 2.3291 5.0891 7.9091 10.2891 4.4591 6.6991 7.1791 7.5691 5.7691 4.9491 6.6491 4.4091 7.1791 9.5591 2.6691 8.8791 11.5991 10.9191 10.6791 11.9891 7.5191 6.0591 7.4191 5.1891 4.2691
13 13.2252 14.1052 14.8252 5.3652 14.3452 14.8752 9.3952 12.7952 14.5852 14.0052 14.8752 14.5352 14.1952 6.7252 11.5252 11.9652 10.0752 14.1952 8.5152 12.1552 14.6352 13.2752 14.0052 13.8152 14.8752 13.7152 14.6352 12.8852 14.4452 14.1052 10.6552 13.2252 1.5748 13.0852 14.0052 14.7352 14.9252 6.8252 14.8252 14.8252 14.2452 12.0152 13.8552 14.3452 14.4452 13.7652 12.7952 14.7352 9.7352 11.2352 14.9752 11.6252 14.9252 11.0952 13.0852 4.6352 0.2648 0.1248 14.5852 4.1548 14.3452 7.4052 6.0952 0.5548 13.8552 6.5252 0.8948 14.8752 14.4452 14.6852 13.2752 13.4252 14.5852 1.6748 13.8152 13.8552 1.4848 13.0852 12.4552 13.9552 3.0348 2.5048 13.8552 5.8052 12.4952 9.0052 4.8252 9.1552 3.2752 11.1852 3.4748 2.7948 1.4848 9.5352 7.7452 1.9148 3.6148 9.3452 14.5852 1.8248
14 8.2371 7.6071 5.1271 1.7871 11.7371 2.2671 19.2571 10.2771 19.4071 14.2071 18.9171 19.3071 19.4971 4.6971 2.0271 18.9171 5.7671 2.0771 4.6471 12.3171 1.1071 10.1771 3.3371 1.1071 2.9971 19.3071 4.8371 2.6571 4.7871 19.3071 17.1671 15.0371 14.1571 6.9271 13.1871 1.3971 16.2471 13.8171 5.5671 11.1071 15.4671 6.2971 18.5271 13.3371 10.0371 11.7871 16.6371 2.6071 1.6371 15.0371 18.1371 15.8571 1.8771 5.7671 14.6471 19.1571 13.9671 14.1571 7.6071 10.0871 18.3871 14.6471 1.1471 19.2071 16.4871 12.0771 1.1471 14.3071 7.4571 19.3071 13.7771 15.6671 9.0171 9.7871 6.8771 15.1271 5.6671 15.7171 6.0071 2.9471 16.6871 7.1171 6.8271 5.8071 3.5771 5.8071 6.2471 14.4071 2.7071 3.5771 1.1071 4.8871 9.9371 8.6271 8.0471 11.1071 15.4671 7.6571 6.8271 3.8671
15 15.4824 15.6324 16.2124 14.4624 3.0624 16.2624 10.4324 9.5624 11.7924 16.0224 6.4524 8.2524 14.4624 14.7124 15.9724 14.1724 7.2824 8.3024 5.5824 10.7724 10.8724 12.2824 6.6024 5.1924 3.6424 12.0424 6.7024 15.1424 10.4824 13.4424 16.6524 6.9424 16.4524 15.9724 6.8424 12.2324 14.4124 7.0424 9.5624 10.0524 5.7324 7.4724 13.0624 8.8824 4.3224 7.8124 3.6424 11.8924 7.9624 9.9524 5.7724 6.7424 10.7324 11.2124 13.6424 9.3724 7.9624 10.2424 9.0724 17.5224 13.6924 9.7524 9.1224 15.7724 7.3824 11.9424 3.9824 17.2824 13.9824 13.3524 8.5924 6.7924 9.8524 6.3624 8.0124 14.4624 14.1724 12.7624 6.5524 6.3124 6.4124 2.2824 7.8624 13.1524 7.2824 11.2624 6.0224 5.8724 4.5624 4.0724 13.3024 6.1124 12.5724 14.4624 5.0024 14.1724 6.1124 5.8724 9.5624 3.4424
17 12.7329 10.9329 12.1029 9.3329 12.7729 7.1029 7.1029 9.3829 9.9629 13.6029 10.4929 9.4329 10.3529 9.7729 7.1029 7.2429 13.6029 6.4629 8.7029 12.1929 10.9829 8.7529 10.0629 13.8929 14.1329 9.9629 8.0229 8.7029 7.2429 10.2029 6.7629 4.0929 10.9329 9.9629 13.8929 13.9929 6.1229 14.2329 7.4829 8.8929 6.5129 6.2229 9.5729 13.7529 10.4029 9.1329 11.9029 11.9529 13.7529 6.3729 11.8029 8.7929 11.3729 13.4529 11.7629 11.8529 11.3729 11.6629 12.0029 13.8929 8.7929 8.4129 13.6529 7.2929 9.0929 9.4329 9.8629 11.9029 13.4529 8.5029 12.0529 10.1529 10.0629 9.3329 7.4429 7.3429 12.9229 9.9129 11.9529 6.5629 6.7629 14.3329 6.4629 6.8529 7.3429 7.2429 6.8029 14.5229 5.0629 14.1329 8.8929 10.2029 7.2429 7.0529 13.0229 5.5429 13.9429 11.3229 8.8429 10.0129
23 14.066 9.066 9.506 8.486 11.886 14.696 15.376 12.616 15.626 17.616 14.896 16.446 14.506 8.676 16.686 11.936 9.266 3.336 15.036 16.986 17.326 15.966 12.706 14.456 10.336 12.226 13.146 17.666 16.596 17.666 9.266 12.756 15.376 8.246 1.786 9.556 15.136 14.946 8.336 15.086 16.446 17.416 14.946 16.596 10.716 17.666 8.826 9.116 13.926 12.026 11.836 4.746 12.466 9.556 17.416 10.376 0.816 11.206 8.586 12.276 8.386 15.816 5.666 9.356 4.746 0.344 8.246 8.536 8.926 7.806 0.966000000000001 9.066 3.876 10.086 9.266 11.256 17.516 13.336 7.996 5.086 1.056 2.906 5.866 4.846 0.476000000000001 3.976 7.956 10.766 0.626000000000001 2.856 0.766 1.306 10.666 3.586 11.446 1.596 0.136000000000001 5.186 2.026 4.116
