"uID" "rec1" "rec2" "rec3" "rec4" "rec5" "rec6" "rec7" "rec8" "rec9" "rec10" "rec11" "rec12" "rec13" "rec14" "rec15" "rec16" "rec17" "rec18" "rec19" "rec20" "rec21" "rec22" "rec23" "rec24" "rec25" "rec26" "rec27" "rec28" "rec29" "rec30" "rec31" "rec32" "rec33" "rec34" "rec35" "rec36" "rec37" "rec38" "rec39" "rec40" "rec41" "rec42" "rec43" "rec44" "rec45" "rec46" "rec47" "rec48" "rec49" "rec50" "rec51" "rec52" "rec53" "rec54" "rec55" "rec56" "rec57" "rec58" "rec59" "rec60" "rec61" "rec62" "rec63" "rec64" "rec65" "rec66" "rec67" "rec68" "rec69" "rec70" "rec71" "rec72" "rec73" "rec74" "rec75" "rec76" "rec77" "rec78" "rec79" "rec80" "rec81" "rec82" "rec83" "rec84" "rec85" "rec86" "rec87" "rec88" "rec89" "rec90" "rec91" "rec92" "rec93" "rec94" "rec95" "rec96" "rec97" "rec98" "rec99" "rec100"
1 12.61 26.33 20.46 26.77 9.52 27.48 2.93 20.36 15.03 18.97 12.75 19.5 9.81 16.79 28.17 21.31 10.16 21 26.22 5.13 5.52 19.55 11.9 12.27 20.42 25.39 25.3 25.56 24.81 20.15 11.39 8.66 12.78 13.21 3.64 10.24 4.84 5.22 6.04 25.09 24.54 18.16 3.33 0.5 19.35 10.29 12.57 5.24 16.04 25.4 7.74 23.12 7.71 18.04 17.76 6.79 8.06 23.45 2.34 8.15 5.8 24.67 11.43 12.39 12.25 0.0499999999999998 26.06 21.52 15 9.28 20.44 10.39 4.13 2.83 17.34 8.94 11.95 16.49 14.76 20.86 15.47 10.06 16.16 15.71 1.16 15.19 6.02 2.77 13.05 10.39 4.04 10.44 2.16 13.45 20.36 21.45 10.04 11.41 18.51 13.05
5 0.130000000000001 2.88 6.31 10.37 3.34 8.09 8.4 3.39 0.16 16.41 4.23 3.63 0.130000000000001 1.65 11.58 0.279999999999999 8.42 12.91 6.92 9.48 8.1 7.61 3.95 7.96 8.24 7.8 10.44 2.56 2.83 2.56 1.6 5.36 7.88 14.29 3.42 4.56 15.24 17.68 7.62 9.72 0.0099999999999999 12.44 8.74 3.36 1.78 15.61 3.37 4.94 16.72 5.2 13.16 3.4 0.32 0.41 10.44 8.15 2.45 10.51 2.71 17.44 7 3.7 2.11 16.52 0.54 2.37 12.09 16.58 16.35 8.86 12.65 8.02 13.39 7.29 5.56 7.29 6.92 5.33 3.2 0.23 2.57 2.87 1.62 3.26 9.43 3.39 6.53 4.02 2.86 11.64 6.1 11.66 2.92 0.2 1.43 10.27 4.1 1.94 5.48 5.01
7 14.85 21.46 5.92 10.1 21.29 21.56 8.24 13.75 15.43 24.62 6.14 11.16 5.28 14.19 2.33 27.76 2.35 11.04 23.44 3.86 6.77 10.01 9.32 1.14 6.54 12.4 7.23 9.72 16.42 11.38 3.07 0.56 11.58 13.5 9.91 23.68 0.98 1.2 12.44 7.11 8.4 10.95 3.19 4.14 9.61 10.48 6.12 1.53 6.18 5.99 2.65 5.87 0.0999999999999996 5.48 17.63 20.04 0.26 12.67 13.97 4.01 8.04 4.58 4 4.33 4.91 5.66 1.03 20.4 2.51 1.92 9.58 13.54 1.75 7.76 11.25 4.37 8.83 5.59 0.96 1.6 5.86 0.14 3.38 12.07 15.55 0.73 2.37 12.55 5.88 12.94 10.94 3.05 14.42 17.89 2.73 11.17 3.52 1.86 8.77 7.17
8 3.27 13.25 20.92 10.04 12.4 15.6 19.33 17.18 13.49 14.53 18.99 16.13 10.53 0.970000000000001 11.06 18.34 15.16 3.94 14.49 23.34 7.3 5.47 10.58 3.72 11.81 16.51 7.97 9.22 15.73 3.19 12.8 15.71 22.59 9.89 4.63 14.98 16.51 14.82 13.24 15.69 5.61 9.52 8.02 13.35 6.69 15.04 11.89 18.54 4.87 13.03 16.83 11 2.96 6.8 21.93 4.68 9.37 22.89 17.07 5.02 6.74 4.17 3.2 21.16 11.02 2.68 6.21 3.94 1.94 3.5 9.27 13.48 7.9 10.18 10.29 6.58 8.67 11.42 2.19 13.26 1.35 1.97 1.16 11.4 12.78 4.35 17.61 3.61 8.84 0.24 10.38 7.32 5.53 5.99 10.12 2.93 14.59 6.54 3.44 3.62
11 13.15 20.48 13.63 20.39 20.92 16.89 15.22 15 22.38 3.27 9.05 10.38 7.61 17.59 1.08 1.61 12.65 14.84 14.15 19.77 15.82 0.0299999999999994 8.1 1.59 11.09 4.19 11.94 0.830000000000001 4.9 20.38 6.75 8.2 5.92 5.15 13.41 23.08 5.43 6.31 4.24 9.9 3.02 10.7 6.69 5.12 8 8.31 16.04 5.1 7.1 8.68 13.42 18.88 1.53 6.31 14.44 15.97 15.93 10.71 17.37 9.62 2.06 21.02 0.369999999999999 0.460000000000001 17.11 12.59 6.24 3.99 14.62 16.75 7.72 12.28 14.06 0.53 4.52 10.99 17.01 19.68 8.49 20.2 18.37 15.55 0.880000000000001 17.13 12.27 10.41 11.32 15.21 2.47 15.16 10.35 5.6 16.46 7 8.79 0.830000000000001 13.53 4.84 0.96 16.77
13 26.82 17.94 22.44 11.29 21.32 12.96 15.17 20.27 14.76 23.79 20.16 18.68 10.25 15.2 24.31 19.29 10.9 16.54 17.71 8.67 17.06 12.95 18.94 26.38 11.97 9.65 8.19 16.15 16.18 16 17.16 9.66 25.22 4.26 5.37 17.48 12.45 25.66 27.38 13.66 10.83 14.33 4.48 23.93 17.23 26.63 10.09 6.75 24.37 9.8 20.85 18.36 19.1 12.42 23.69 12.83 4.61 28.42 22.64 15.89 12.57 16.35 10.01 14.43 20.83 4.88 5.69 10.43 2.28 6.48 3.62 21.05 9.89 24.02 25.71 18.17 22.56 9.16 12.77 9.9 4.47 27.06 5.59 9.85 20.73 4.13 3.77 7.33 4.44089209850063e-16 9.1 16.55 16.62 3.83 13.9 10.38 6.92 19.13 15.97 7.41 10.49
14 22.61 1.24 26.1 14.08 1.3 3.58 3.39 10.46 9.79 4.61 25.59 19.92 8.34 5.37 1.47 24.57 23.39 0.149999999999999 2.62 14.77 15.68 0.18 12.32 1.32 7.62 18.16 10.16 13.44 13.94 13.91 12.2 11.18 8.5 13.95 8.89 23.14 6.59 19.48 7.26 13.25 8.95 1.79 13.81 9.88 12.53 18.73 23.21 8.03 15.57 15.51 15.62 4.11 13.39 7.97 5.64 10.1 11.17 3.09 0.38 7.56 13.96 13.29 0.100000000000001 5.54 2.44 13.61 2.91 1.49 7.2 5.97 4.6 2.39 12.65 8.01 20.13 11.89 3.68 19.51 11.15 20.45 19.63 5.86 25.08 5.36 2.63 14.1 8.06 10.72 16.28 11.04 7.08 14.11 23.22 4.5 9.92 10.23 9.42 4.01 3.87 11.53
15 22.68 18.91 17.62 8.98 7.43 9.5 13.58 7.28 7.35 7.64 16.14 7.76 1.03 4.04 12.13 8.41 25.6 14.62 10.56 10.21 8.21 0.260000000000001 22.47 0.99 4.38 12.24 17.19 15.47 8.27 9.62 11.7 7.36 16.16 2.27 11.87 12.29 20.57 7.62 12.66 15.17 5.38 11.2 8.88 13.3 17.06 16.29 0.350000000000001 23.46 4.27 4.62 6.76 10.85 12.2 15.02 8.87 2.27 7.3 16.97 1.49 8.57 17.4 16.47 18.75 14.69 2.1 7.76 10.99 1.67 10.55 11.13 9.07 13.14 1.13 12.5 7.08 10.65 3.76 10.7 0.69 14.2 5.38 3.17 15.58 6.03 11.16 5.45 17.57 2.76 15.18 10.88 0.84 3.84 16.11 1 9.72 2.54 4.74 10.97 3.24 14.66
17 12.15 8.71 16.77 7.51 20.05 27.61 15.35 11.6 14.62 3.87 20.22 4.17 24.56 11.33 18.05 18.72 4.15 1.23 20.17 20.21 15.73 12.59 16.63 7.58 21.82 24.04 6.69 2.7 8.33 2.46 14.43 12.72 4.86 9.62 23.64 21.62 10.96 14.18 7.44 23.3 13.07 2.82 22.89 20.74 21.39 17.14 6.4 12.44 20.55 13.8 18.85 11.7 17.71 21.01 22.35 23.3 11.71 12.13 6.27 25.24 13.28 23.26 18.05 10.15 13.84 6.49 7.56 18.47 17.79 18.76 22.76 18.66 15.63 15.26 9.97 11.43 20.83 9.37 10.08 12.25 6.23 17.98 20.13 10.13 5.87 6.25 13.97 12.6 6.62 9.25 7.56 12.06 17.98 2.4 6.17 20.66 12.41 13.59 18.16 15.57
23 14.64 17.72 8.64 14.23 16.99 9.99 12.11 16.87 11.35 24.6 7.64 13 16.8 8.25 18.39 19.66 21.54 20.74 8.99 16.85 12.17 11.32 15.42 12.29 20.27 6.62 0.74 2.17 22.3 10.36 19.78 10.43 2.45 3.76 5.41 22.31 10.44 24.83 17.78 14.33 6.54 6.73 11.58 9.56 4.19 3.01 14.49 16.31 17.56 6.41 27.2 21.12 10.04 15.34 5.65 21.39 17.71 20.72 11.14 10.76 15.23 20.8 11.9 3.93 18.76 7.07 21.91 8.83 11.86 11.87 9.88 20.71 14.85 2.49 20.89 7.01 6.5 6.15 13.09 1.46 1.84 6.47 11.71 10.93 12.15 11.43 2.14 3.26 10.59 16.49 14.14 4.05 9.27 10.07 2.71 12.29 6.93 3.25 7.05 1.75
