"uID","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","rec21","rec22","rec23","rec24","rec25","rec26","rec27","rec28","rec29","rec30","rec31","rec32","rec33","rec34","rec35","rec36","rec37","rec38","rec39","rec40","rec41","rec42","rec43","rec44","rec45","rec46","rec47","rec48","rec49","rec50","rec51","rec52","rec53","rec54","rec55","rec56","rec57","rec58","rec59","rec60","rec61","rec62","rec63","rec64","rec65","rec66","rec67","rec68","rec69","rec70","rec71","rec72","rec73","rec74","rec75","rec76","rec77","rec78","rec79","rec80","rec81","rec82","rec83","rec84","rec85","rec86","rec87","rec88","rec89","rec90","rec91","rec92","rec93","rec94","rec95","rec96","rec97","rec98","rec99","rec100"
1,10.0237,14.0037,13.6137,10.4137,15.9937,15.4537,16.2837,16.2337,16.2337,16.1337,15.5537,15.8937,15.8937,16.4237,15.8937,16.2337,14.9737,0.7537,7.3037,5.1137,4.8737,12.1037,8.3237,14.5837,14.2437,7.9837,11.7237,10.6537,11.6237,13.3237,11.7637,15.1137,16.4737,16.2837,11.1837,6.3837,11.3337,13.4637,15.6037,15.0737,5.1137,11.9637,11.3337,15.1637,14.3437,12.1037,14.3937,5.4537,8.1237,2.2537,10.9437,3.4237,15.0237,15.8937,16.2837,3.4237,7.3537,3.9037,15.8937,7.8337,5.9437,2.9337,8.2237,10.5537,7.2037,7.0637,2.4063,0.5537,2.3037,6.3337,11.8137,13.7537,14.8237,4.0537,8.3737,14.7737,1.9137,7.5937,10.0737,2.9337,10.8937,11.9137,10.3137,5.7937,2.3537,6.3337,8.0337,1.7763,6.2837,6.8637,6.9637,6.9637,14.6837,4.0537,6.0437,6.5237,8.1237,11.6737,6.5737,11.8137
5,14.2677,13.7777,11.5477,9.2177,9.6577,8.8277,14.5577,14.2177,11.9377,8.7777,15.4277,12.7177,6.8377,7.8077,11.4477,14.4077,14.2177,14.0277,5.0877,13.4877,8.6877,11.3577,12.0377,8.7277,11.3577,14.9477,13.0977,8.6877,5.8177,13.3477,6.2077,5.9677,9.7077,12.6177,6.9877,10.9677,10.9677,12.5177,7.0777,8.3977,11.2077,6.9877,10.1877,5.9177,8.2477,12.9577,7.9577,8.5377,5.4777,7.2777,9.8977,10.6777,12.7177,9.8477,14.6077,8.0077,15.3877,9.1677,12.9577,5.0877,12.0377,5.2377,8.0977,11.8877,9.8977,7.8577,12.6677,12.6177,11.6977,11.4477,6.3077,14.3177,9.3677,7.6177,13.0077,5.0477,9.5077,8.2477,8.5877,9.4077,7.4177,9.4077,15.6277,8.2977,8.7777,5.6277,10.2877,15.3377,7.9077,10.5777,5.4777,6.0677,5.6277,7.9577,7.1277,10.5777,6.3977,15.9677,10.4777,5.3377
7,7.9669,13.9869,15.5469,19.9569,15.8369,12.1469,21.6569,19.8169,6.9469,19.2269,20.5869,21.5569,21.6569,11.1269,18.2169,15.3969,3.3569,5.4469,12.2869,13.5069,8.5969,13.7969,4.9569,14.1869,6.7069,6.2669,7.9669,4.2269,6.9469,18.0669,9.0369,9.2269,13.6969,5.2069,5.0569,14.5269,8.1669,21.3169,3.1669,19.6169,16.5569,12.3369,7.9669,9.7669,13.4069,11.9469,5.9269,4.5269,12.2869,2.5769,12.2869,8.2569,11.2669,10.0069,3.5069,12.3869,15.9269,4.4269,6.3169,16.1769,8.9869,7.8269,9.1869,5.2969,3.4569,8.2169,4.4269,14.8669,5.0069,10.2969,7.6769,6.4169,2.4869,8.9369,12.0969,6.1769,5.2469,13.6969,3.4069,10.6869,12.6769,9.4769,10.2469,6.1769,12.8769,12.0469,8.2169,12.4869,3.2569,6.7069,2.4869,2.5369,7.1969,4.1369,12.9169,2.4869,3.3069,4.5269,7.8769,9.1369
8,15.3544,10.5044,11.3244,12.2044,17.1544,11.7644,13.7044,10.5044,15.6444,15.6444,16.5244,16.3244,12.2044,11.3244,10.5044,10.5044,15.4544,15.6444,17.1544,10.5044,10.5044,12.6344,14.1444,14.9644,10.5044,14.7744,12.0044,14.9644,10.3044,15.8944,10.5044,15.1644,10.5044,10.5044,13.0744,10.5044,10.5044,12.6344,9.1944,12.2044,11.7644,10.5044,8.9544,10.5044,7.4444,15.2144,10.5044,10.5044,11.5744,10.5044,17.1544,10.5044,14.5844,8.5644,10.5044,7.8844,2.9344,7.5944,7.2544,10.5044,7.8844,8.7544,3.9044,6.0344,7.2544,5.8444,12.2044,6.3744,7.5944,14.1444,13.4144,12.2044,9.1944,5.4544,10.5044,4.4844,7.3944,1.3744,3.9044,2.0544,12.0044,7.3944,4.2944,7.0044,2.0544,10.5044,3.8044,3.8044,9.3844,10.5044,10.5044,5.5044,5.5044,2.0544,10.5044,5.5044,5.9444,1.8644,7.6844,3.8044
11,14.2191,16.1591,14.7091,17.1291,9.8491,15.5291,10.6791,11.9391,9.7991,13.0091,13.8291,17.1791,11.4491,6.7891,11.0191,6.9891,7.1291,10.1391,9.3191,11.2591,7.5191,12.8591,5.0891,15.7691,12.0391,8.5891,13.6391,8.1491,13.3891,9.7091,9.0691,11.9891,11.9891,7.7591,14.9991,4.9491,12.6191,11.9391,11.3091,11.8891,9.4091,11.0191,8.9291,12.1291,11.5991,7.0391,8.9791,7.5691,14.5591,9.0691,7.1791,10.6791,10.4791,11.3591,9.6591,10.2891,8.1991,8.9791,6.2591,15.0891,5.7691,10.8691,11.5991,8.2991,14.0691,11.2591,6.6991,9.2691,10.2391,11.0191,10.3891,10.2391,11.5991,8.1991,10.2891,2.3291,6.9391,7.4191,7.1791,9.5591,10.1891,6.6491,15.1891,6.0591,7.9091,9.4091,11.5991,10.0891,8.8791,2.6691,11.9891,11.3091,8.9291,10.9191,7.2791,4.2691,5.1891,7.5191,4.4591,4.4091
13,14.6352,5.3652,14.5352,9.3952,14.1052,14.8752,14.9252,14.8752,13.4252,14.5852,14.6352,13.2252,10.6552,13.2752,14.2452,12.8852,14.1952,14.3452,11.0952,14.5852,14.8252,14.9752,14.9252,0.1248,13.0852,14.4452,13.8152,12.4952,11.2352,14.7352,12.1552,14.4452,10.0752,11.5252,14.1952,5.8052,14.5852,14.1052,14.7352,14.8252,14.0052,14.8252,9.7352,12.4552,13.7152,14.8752,8.5152,14.0052,11.1852,13.8552,14.3452,12.7952,11.9652,0.5548,11.6252,13.8552,9.3452,13.2752,1.5748,6.5252,0.2648,6.8252,13.8552,13.7652,13.2252,13.8552,14.8752,14.4452,12.0152,13.8152,14.3452,13.0852,13.0852,13.9552,6.0952,4.1548,14.0052,9.1552,1.4848,4.8252,3.0348,0.8948,9.5352,9.0052,4.6352,12.7952,3.6148,1.4848,2.7948,3.2752,6.7252,2.5048,14.6852,1.6748,7.7452,7.4052,3.4748,1.8248,1.9148,14.5852
14,11.7871,10.0871,15.4671,13.7771,16.4871,11.7371,19.3071,4.8371,2.9971,2.6571,1.1071,6.2971,18.9171,19.3071,18.1371,5.7671,19.3071,9.9371,19.2071,2.6071,15.8571,19.4071,14.3071,14.1571,6.2471,14.1571,12.0771,11.1071,13.3371,19.3071,19.2571,1.8771,2.0271,17.1671,10.0371,18.9171,2.2671,16.6871,14.6471,10.2771,5.8071,18.3871,14.6471,9.7871,2.0771,4.6471,1.1071,3.5771,13.9671,6.8271,15.1271,19.4971,15.7171,1.1071,15.6671,13.8171,3.8671,7.1171,16.2471,9.0171,4.8871,6.0071,1.1471,16.6371,6.8271,7.6071,4.6971,5.7671,7.6071,1.3971,10.1771,5.1271,11.1071,5.8071,5.6671,13.1871,8.2371,8.6271,15.0371,2.7071,14.4071,6.8771,7.4571,14.2071,3.5771,1.7871,1.1471,12.3171,18.5271,8.0471,5.5671,6.9271,15.0371,4.7871,15.4671,2.9471,7.6571,3.3371,19.1571,1.6371
15,15.4824,16.2124,15.9724,3.0624,8.2524,10.4324,13.3524,15.1424,10.7724,15.6324,13.4424,15.9724,7.8124,15.7724,5.1924,3.6424,16.2624,6.8424,13.0624,17.2824,10.8724,16.0224,12.0424,9.1224,10.0524,13.6924,14.4124,14.7124,6.3624,7.3824,14.4624,8.5924,9.5624,13.6424,9.0724,14.4624,8.8824,2.2824,6.1124,14.1724,16.6524,9.3724,13.9824,10.4824,6.7024,16.4524,14.1724,6.6024,12.5724,9.5624,11.2124,12.2324,6.9424,5.7324,11.8924,11.9424,14.4624,6.7424,10.7324,3.6424,5.5824,6.4524,8.3024,6.0224,9.7524,7.9624,7.4724,4.0724,5.7724,10.2424,14.4624,8.0124,4.5624,4.3224,7.0424,9.9524,7.9624,6.4124,7.2824,12.2824,6.7924,7.2824,9.8524,6.5524,17.5224,11.7924,6.3124,13.3024,6.1124,3.9824,11.2624,14.1724,5.8724,12.7624,13.1524,7.8624,9.5624,5.8724,5.0024,3.4424
17,12.0529,13.6029,10.1529,12.7329,10.9329,12.9229,7.2429,7.3429,8.8929,7.1029,6.2229,4.0929,13.7529,12.0029,10.3529,9.9629,12.1929,11.9029,12.1029,7.1029,11.6629,10.2029,6.4629,13.6529,13.9929,8.7929,9.4329,11.8529,10.4029,10.9829,14.1329,11.3729,14.2329,14.3329,13.8929,8.8929,9.0929,9.9129,6.8029,14.1329,11.8029,8.7529,9.3829,6.7629,10.0629,7.4429,13.8929,7.4829,10.0629,6.5629,13.8929,9.5729,8.7029,12.7729,13.4529,9.3329,13.6029,13.4529,9.9629,8.4129,6.5129,10.9329,6.7629,7.2429,9.1329,8.7929,7.0529,11.9529,11.7629,9.9629,7.1029,6.3729,14.5229,9.7729,6.1229,11.3729,9.3329,9.8629,11.9529,13.7529,10.0129,8.0229,10.2029,9.4329,11.9029,10.4929,7.3429,8.5029,5.0629,8.7029,7.2429,6.8529,7.2429,6.4629,7.2929,11.3229,13.9429,5.5429,13.0229,8.8429
23,16.446,17.666,11.936,14.066,16.596,15.626,11.886,17.416,14.696,12.226,0.344,16.686,16.596,15.036,16.986,15.816,17.666,12.616,3.336,14.456,9.066,4.746,9.506,17.326,9.266,17.416,15.376,15.966,9.266,15.376,9.556,11.836,11.206,12.026,14.946,8.586,15.136,8.676,12.706,17.666,14.896,13.146,17.516,9.356,12.756,8.536,10.336,17.616,16.446,8.246,9.116,8.386,8.246,15.086,14.506,8.486,0.816,14.946,1.786,5.866,8.826,12.276,7.996,2.856,12.466,9.266,8.336,9.556,5.086,10.716,11.446,9.066,10.376,7.956,3.976,4.116,10.086,11.256,0.966000000000001,13.336,5.666,8.926,2.026,2.906,10.666,0.136000000000001,13.926,0.766,1.056,0.626000000000001,10.766,7.806,1.306,1.596,3.876,4.746,5.186,0.476000000000001,3.586,4.846
