"uID","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","rec21","rec22","rec23","rec24","rec25","rec26","rec27","rec28","rec29","rec30","rec31","rec32","rec33","rec34","rec35","rec36","rec37","rec38","rec39","rec40","rec41","rec42","rec43","rec44","rec45","rec46","rec47","rec48","rec49","rec50","rec51","rec52","rec53","rec54","rec55","rec56","rec57","rec58","rec59","rec60","rec61","rec62","rec63","rec64","rec65","rec66","rec67","rec68","rec69","rec70","rec71","rec72","rec73","rec74","rec75","rec76","rec77","rec78","rec79","rec80","rec81","rec82","rec83","rec84","rec85","rec86","rec87","rec88","rec89","rec90","rec91","rec92","rec93","rec94","rec95","rec96","rec97","rec98","rec99","rec100"
1,18.158,16.508,13.108,17.918,2.678,17.818,13.688,18.158,18.398,10.048,17.478,18.208,7.038,15.928,17.818,18.158,12.338,17.818,16.318,14.028,18.348,13.258,14.028,13.548,16.898,18.208,10.248,17.528,15.538,16.168,6.798,13.648,16.998,18.058,8.308,5.348,16.948,15.248,11.948,10.148,9.128,8.888,2.478,17.038,17.378,13.888,15.388,17.088,13.258,9.228,18.208,17.818,7.038,16.268,11.998,5.978,9.908,9.758,13.738,9.518,12.478,7.378,3.838,16.698,9.278,17.818,10.298,8.888,4.228,7.968,4.858,16.608,5.348,4.278,13.838,8.258,0.482,12.578,8.988,12.818,4.178,5.828,16.748,12.238,12.868,5.978,8.258,9.958,0.148000000000001,4.858,8.208,15.678,8.788,8.448,7.718,7.868,13.598,13.738,8.498,10.048
5,3.498,8.548,5.828,6.218,2.138,8.498,7.628,3.108,7.768,3.988,1.118,2.678,3.938,2.968,0.248,8.058,3.008,8.688,5.638,8.888,9.708,0.488000000000001,6.998,2.288,5.638,6.318,1.268,7.238,7.378,5.728,2.968,9.228,6.168,4.958,8.838,6.898,8.598,3.058,2.528,0.242,0.588,8.308,9.668,6.898,8.498,2.238,5.728,7.238,0.632,5.978,4.468,2.528,4.178,6.998,5.248,4.178,1.268,0.348,3.788,1.358,6.318,5.248,0.632,0.672,0.198,6.948,1.558,1.698,5.488,2.088,1.898,7.288,2.818,6.798,1.408,2.378,3.688,3.648,2.578,3.448,0.678,9.618,0.0919999999999995,10.248,4.568,2.188,3.688,0.0919999999999995,9.908,0.098,4.858,4.758,4.858,0.482,0.242,3.058,2.868,4.128,0.382,2.238
7,4.758,10.778,16.018,1.018,16.608,3.738,12.338,17.378,12.628,8.938,18.348,18.108,14.858,18.448,16.748,6.018,7.918,9.078,0.148000000000001,4.958,8.738,0.0420000000000006,9.078,3.498,2.038,5.828,5.388,4.758,1.848,11.318,0.632,18.448,10.978,9.078,10.198,3.058,12.188,11.658,10.488,1.748,5.048,9.178,3.738,9.128,8.058,16.408,6.268,6.798,5.978,13.348,10.588,5.778,2.238,5.728,10.298,7.088,6.558,12.718,12.968,4.468,15.008,1.218,1.998,2.088,4.758,7.478,8.838,0.297999999999999,2.968,9.468,2.968,1.318,9.278,1.218,3.108,1.798,4.618,3.208,3.498,7.038,0.248,0.722,5.008,5.008,10.488,0.928,0.722,2.718,4.668,9.708,8.888,0.722,0.198,3.988,0.0479999999999993,9.668,0.672,0.098,5.928,1.318
8,14.028,9.708,8.888,10.148,13.838,13.738,8.888,8.888,10.388,9.708,15.538,14.028,14.708,8.888,10.588,8.888,10.588,11.018,13.348,8.888,15.538,14.028,11.458,14.908,12.088,8.888,8.888,7.578,14.278,8.888,13.158,13.348,8.888,8.888,12.528,8.688,13.548,8.888,11.018,10.588,8.888,7.338,13.598,10.148,8.888,6.268,5.978,8.888,5.828,8.888,5.778,8.888,7.138,15.538,8.888,5.638,5.978,4.418,1.318,9.958,4.758,4.228,2.288,8.888,3.838,11.798,8.888,8.888,5.638,6.948,5.388,12.968,12.528,6.268,10.588,5.778,10.588,3.888,2.288,2.188,0.242,7.578,0.438,10.388,0.438,8.888,7.768,2.868,3.888,8.888,6.068,2.188,8.888,2.188,8.888,2.678,3.888,4.328,0.438,0.248
11,14.328,15.778,15.148,13.838,6.408,16.748,16.798,9.758,8.938,9.908,11.558,9.418,11.608,13.448,10.638,10.298,11.608,8.208,13.008,11.068,11.218,15.388,7.138,5.878,12.628,9.028,4.708,13.258,6.318,14.618,10.488,8.598,12.238,10.638,10.878,9.468,9.328,7.378,8.688,7.768,4.568,6.558,12.478,10.098,11.558,6.658,7.188,11.748,6.608,10.878,10.638,8.688,11.658,14.708,11.218,7.818,5.388,11.218,7.918,11.508,14.178,10.978,8.598,10.298,6.798,9.858,6.748,8.888,10.008,10.928,8.548,9.908,9.278,9.028,9.808,14.808,13.688,6.798,7.818,11.608,5.678,7.528,11.218,7.038,9.858,8.498,6.268,10.538,9.708,1.948,10.928,8.548,9.178,7.138,6.898,4.808,4.078,2.288,4.028,3.888
13,8.888,18.398,12.918,18.158,18.448,18.058,18.258,18.348,18.398,16.948,17.628,15.678,18.348,17.378,17.238,17.768,17.528,13.598,18.158,18.348,18.108,17.378,14.618,16.798,18.108,17.528,17.338,18.448,17.868,15.488,17.718,17.968,14.178,10.048,16.318,18.498,12.038,16.748,18.108,16.608,17.628,14.758,17.478,17.338,15.978,3.398,18.398,15.148,16.748,16.408,17.288,1.948,18.398,3.258,9.618,17.868,9.328,17.968,15.048,13.258,17.718,16.018,10.248,12.868,18.208,14.708,17.378,2.038,0.632,17.528,16.798,8.158,17.968,17.378,18.258,16.318,12.678,2.628,15.538,16.608,10.348,16.608,0.728000000000001,8.348,12.528,0.0479999999999993,17.868,6.798,0.0919999999999995,2.968,0.488000000000001,1.698,10.928,13.058,1.018,2.038,1.848,11.268,1.608,18.108
14,8.648,12.718,12.338,10.298,17.768,4.328,15.048,10.348,12.718,1.168,17.868,0.438,17.968,0.588,8.838,14.028,8.738,10.638,11.898,0.0420000000000006,15.198,12.768,4.808,14.418,17.868,15.248,1.558,4.368,12.968,13.208,17.478,4.568,4.858,8.598,0.332,15.728,4.368,16.948,0.332,6.168,3.208,17.868,9.668,3.398,17.818,13.688,8.498,13.598,5.388,13.208,17.868,14.808,12.378,11.748,7.578,17.478,18.058,8.348,0.332,13.598,12.868,1.218,7.188,6.168,1.268,6.218,3.258,6.018,6.798,3.448,0.292000000000001,16.698,2.138,14.228,10.878,0.828,2.428,4.128,0.292000000000001,5.438,4.228,12.528,5.388,0.638000000000001,6.608,14.278,4.328,5.488,0.348,3.688,14.028,0.198,5.678,3.348,1.898,9.668,1.508,2.138,17.088,17.718
15,7.188,15.148,14.568,8.498,14.708,2.578,14.078,14.418,5.678,9.808,9.708,12.288,4.128,15.198,16.218,13.108,10.978,4.668,5.638,14.958,6.748,9.418,14.908,13.398,14.908,5.778,7.818,9.368,13.398,1.998,8.888,6.318,12.378,15.588,15.388,8.058,13.108,5.348,5.878,13.398,9.668,12.628,8.308,5.298,10.148,10.828,13.348,11.168,13.648,8.988,5.538,3.258,7.528,1.218,4.708,5.388,6.218,16.458,7.238,6.898,10.728,5.048,12.918,3.008,11.998,6.218,9.178,6.898,8.008,12.578,11.508,8.498,5.728,5.488,4.958,6.408,10.878,12.238,8.788,10.198,2.918,13.108,8.688,5.978,2.578,5.048,3.498,11.218,5.248,4.518,11.698,12.088,6.948,6.798,13.398,4.808,8.498,3.938,4.808,2.378
17,15.828,16.898,15.098,13.058,12.818,14.958,14.708,15.638,16.508,11.998,13.838,12.238,17.038,14.908,9.128,16.658,16.508,12.338,13.258,9.668,12.968,14.758,12.868,16.558,11.798,10.148,6.998,10.248,11.698,11.608,13.108,17.238,9.368,16.358,14.858,17.038,12.478,9.708,16.798,14.278,9.668,11.658,10.008,14.808,16.658,13.838,11.798,15.008,10.008,17.138,17.428,16.798,15.678,14.278,14.568,13.308,12.288,13.888,9.758,10.348,14.668,10.148,9.028,11.408,11.698,9.468,14.808,12.678,16.358,13.398,9.418,12.338,10.198,12.918,10.388,12.038,12.968,11.318,12.868,10.928,16.798,10.248,14.858,12.868,9.278,9.958,12.768,9.368,10.008,13.108,10.148,12.238,10.148,7.968,11.608,15.928,16.848,14.228,11.748,8.448
23,17.428,16.458,14.078,11.948,17.678,12.238,16.698,16.608,8.258,17.428,0.332,17.678,17.628,15.638,11.218,15.388,16.608,14.708,17.338,15.828,16.998,9.368,17.678,9.568,15.388,11.848,9.518,14.908,12.628,3.348,0.828,9.278,15.048,8.688,4.758,12.038,12.288,9.078,1.798,11.898,12.718,9.278,17.528,10.348,13.158,15.978,8.498,15.148,5.678,12.768,9.128,8.838,8.598,8.548,9.278,15.098,9.078,16.458,14.958,14.468,10.728,14.518,8.258,8.398,14.958,9.568,4.128,8.348,11.268,10.388,13.938,0.778,10.098,8.008,8.938,10.678,5.878,12.478,3.988,2.868,0.978000000000001,13.348,5.098,1.318,2.918,2.038,3.888,1.068,11.458,4.858,7.968,0.638000000000001,1.608,0.488000000000001,7.818,10.778,4.758,0.148000000000001,5.198,3.598
