"uID","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","rec21","rec22","rec23","rec24","rec25","rec26","rec27","rec28","rec29","rec30","rec31","rec32","rec33","rec34","rec35","rec36","rec37","rec38","rec39","rec40","rec41","rec42","rec43","rec44","rec45","rec46","rec47","rec48","rec49","rec50","rec51","rec52","rec53","rec54","rec55","rec56","rec57","rec58","rec59","rec60","rec61","rec62","rec63","rec64","rec65","rec66","rec67","rec68","rec69","rec70","rec71","rec72","rec73","rec74","rec75","rec76","rec77","rec78","rec79","rec80","rec81","rec82","rec83","rec84","rec85","rec86","rec87","rec88","rec89","rec90","rec91","rec92","rec93","rec94","rec95","rec96","rec97","rec98","rec99","rec100"
1,12.61,9.81,5.52,28.17,8.66,9.52,12.75,20.46,27.48,15,16.79,26.22,8.94,23.12,25.56,26.33,21,25.4,11.39,7.74,11.9,16.49,19.35,18.16,15.03,13.21,19.5,25.39,20.42,19.55,4.04,12.57,25.3,20.36,3.64,5.8,12.27,24.67,20.15,14.76,5.13,12.78,13.05,24.81,26.77,11.43,25.09,20.44,10.24,4.84,26.06,21.31,2.34,24.54,8.15,15.19,12.39,5.24,9.28,7.71,13.45,10.29,10.44,23.45,16.04,18.04,2.77,17.76,0.0499999999999998,18.51,3.33,10.06,6.79,1.16,21.45,10.39,10.16,18.97,6.04,5.22,10.04,6.02,21.52,10.39,12.25,0.5,15.47,11.95,2.83,8.06,2.93,20.86,4.13,11.41,15.71,16.16,13.05,20.36,17.34,2.16
5,3.34,8.09,12.91,16.41,2.71,10.37,7.61,8.4,6.92,4.94,5.2,12.44,7,5.36,0.16,9.48,2.88,0.130000000000001,3.39,10.44,13.16,0.130000000000001,14.29,8.24,1.65,2.83,1.6,8.1,6.31,11.58,4.56,7.8,9.72,8.86,15.24,16.72,16.35,0.54,3.7,8.42,7.62,7.96,3.63,16.58,7.88,2.37,16.52,17.68,8.74,0.32,2.45,2.11,3.39,0.279999999999999,3.42,4.23,1.78,0.41,12.09,3.95,15.61,2.56,3.37,1.94,8.15,5.56,3.36,11.64,10.44,9.43,3.26,10.27,3.4,12.65,1.43,2.56,0.23,8.02,11.66,13.39,7.29,17.44,10.51,1.62,6.92,2.87,6.53,7.29,5.01,0.0099999999999999,2.57,5.48,4.02,6.1,5.33,2.86,0.2,3.2,4.1,2.92
7,5.92,21.46,14.85,4.37,24.62,2.35,21.29,11.04,10.1,11.16,23.68,9.72,23.44,27.76,13.75,3.38,13.5,15.43,3.86,3.07,1.14,8.24,16.42,11.25,0.0999999999999996,9.32,1.2,1.92,6.14,20.04,2.33,21.56,10.48,6.12,12.67,0.56,9.58,20.4,10.01,0.26,14.19,9.91,6.18,15.55,1.6,8.4,1.03,12.55,4.14,7.23,6.77,5.99,12.44,4.01,17.63,2.51,14.42,5.28,5.48,11.38,11.17,8.83,12.4,3.19,6.54,13.54,12.07,9.61,5.87,1.53,5.66,2.65,12.94,4.33,1.75,4,2.37,5.86,5.59,0.98,4.58,0.14,7.17,13.97,5.88,8.77,7.76,10.95,4.91,17.89,11.58,1.86,7.11,0.96,3.52,10.94,2.73,0.73,8.04,3.05
8,14.98,12.4,3.19,15.73,5.61,19.33,9.52,3.27,14.49,13.49,13.25,10.53,16.13,15.69,14.53,0.970000000000001,18.99,7.3,15.71,10.58,20.92,15.6,15.16,16.51,3.94,9.22,5.47,6.21,21.93,18.34,7.97,23.34,16.51,12.8,10.04,11.06,4.63,13.35,3.72,14.82,15.04,13.24,22.59,17.18,11.89,6.69,9.27,8.02,8.67,11.42,11.02,6.8,13.03,11.81,9.89,1.94,5.02,11.4,2.96,11,13.48,10.29,6.74,3.5,3.2,17.07,4.87,7.9,4.68,4.17,2.68,22.89,21.16,3.94,16.83,1.35,18.54,10.12,10.38,5.53,4.35,9.37,2.19,13.26,0.24,6.58,10.18,1.16,2.93,7.32,1.97,6.54,17.61,3.61,5.99,12.78,14.59,3.62,3.44,8.84
11,13.63,20.48,20.39,23.08,1.61,20.92,22.38,6.75,13.41,17.37,3.27,17.59,14.84,14.15,6.31,10.38,5.12,15,5.43,9.9,21.02,13.15,8.68,0.53,19.77,10.7,1.59,5.15,15.93,6.31,15.22,15.97,7.61,15.82,8.31,4.9,6.69,16.89,11.94,0.0299999999999994,15.21,17.13,8.1,4.24,20.38,13.42,10.71,8.2,1.08,3.02,4.52,16.04,5.92,15.55,4.19,0.369999999999999,12.59,19.68,0.460000000000001,17.11,9.62,9.05,5.1,16.75,2.47,10.41,12.65,11.32,12.28,8.49,6.24,14.62,14.06,7.1,3.99,18.88,17.01,11.09,0.830000000000001,10.35,5.6,2.06,15.16,1.53,8,0.880000000000001,7.72,20.2,18.37,7,10.99,14.44,12.27,16.77,16.46,4.84,8.79,0.830000000000001,13.53,0.96
13,12.96,21.32,20.16,17.94,26.82,16.54,20.27,17.71,15.17,15.2,23.79,14.76,23.69,18.36,27.38,15.89,11.97,16,10.25,12.45,18.94,9.65,10.09,8.19,16.35,12.83,20.73,17.48,28.42,16.15,10.9,26.38,8.67,14.33,11.29,24.31,10.83,22.44,23.93,27.06,24.37,10.01,17.23,17.16,25.66,12.57,20.85,12.42,25.22,9.66,19.1,6.75,25.71,5.69,13.66,20.83,4.61,19.29,9.8,14.43,17.06,10.43,5.37,16.18,18.17,7.33,9.9,4.88,3.62,26.63,12.95,10.38,21.05,16.55,18.68,9.16,4.48,4.13,24.02,22.56,4.26,22.64,2.28,16.62,13.9,6.48,9.85,6.92,4.44089209850063e-16,4.47,9.89,7.41,9.1,15.97,5.59,12.77,3.77,3.83,10.49,19.13
14,0.149999999999999,5.97,3.39,14.08,24.57,9.88,18.73,1.24,5.37,8.5,22.61,0.38,26.1,1.3,0.18,23.22,13.94,13.91,5.54,7.62,6.59,20.45,15.57,9.79,13.96,13.44,3.58,1.32,10.72,23.39,13.39,1.79,3.68,1.47,7.08,15.68,14.1,9.42,7.26,4.6,10.16,19.92,15.51,13.81,13.29,15.62,4.61,10.46,11.18,12.53,23.14,25.59,13.25,8.95,18.16,25.08,14.77,12.32,5.36,11.53,19.51,5.64,11.04,2.62,1.49,16.28,13.61,8.89,13.95,3.09,9.92,8.34,8.03,10.1,2.44,4.11,4.01,7.97,8.01,7.56,12.65,12.2,11.89,8.06,11.17,19.48,0.100000000000001,14.11,7.2,2.91,19.63,5.86,4.5,11.15,2.63,20.13,2.39,3.87,23.21,10.23
15,4.04,17.62,12.13,13.3,10.56,9.62,10.21,7.35,9.5,8.41,11.87,17.19,1.03,25.6,22.47,12.5,12.24,1.49,8.98,7.43,0.260000000000001,8.21,22.68,12.66,18.91,14.62,16.16,12.29,20.57,7.64,3.24,8.87,16.14,17.06,18.75,8.88,7.76,2.1,13.14,16.29,16.97,11.2,0.99,4.38,7.76,15.47,8.27,13.58,23.46,7.62,5.38,9.07,7.28,10.65,6.76,15.17,10.88,8.57,17.4,0.350000000000001,11.7,1.67,10.85,3.17,10.55,15.02,11.13,14.69,4.62,7.36,16.47,2.27,1.13,15.58,2.76,7.3,10.99,5.45,9.72,6.03,3.84,14.2,2.27,7.08,5.38,1,3.76,12.2,0.69,4.27,16.11,10.7,11.16,15.18,17.57,4.74,14.66,2.54,0.84,10.97
17,24.04,20.17,12.15,7.51,4.86,20.05,15.73,18.05,16.77,18.05,22.35,4.17,27.61,10.96,1.23,8.71,24.56,3.87,12.25,14.18,22.76,21.39,21.62,17.14,12.13,2.46,6.69,13.8,9.62,4.15,16.63,23.26,11.7,9.37,23.3,17.71,10.15,13.07,11.6,6.27,5.87,20.21,11.33,22.89,18.76,20.83,18.72,21.82,2.7,20.22,13.28,12.72,15.35,20.55,23.3,21.01,8.33,13.97,18.66,2.82,9.25,14.62,12.59,6.17,20.74,7.44,25.24,15.26,13.84,7.56,17.79,6.4,2.4,13.59,12.44,11.43,23.64,6.49,12.6,6.62,17.98,11.71,7.58,9.97,7.56,6.23,20.13,15.63,18.85,18.47,10.13,14.43,15.57,6.25,12.06,10.08,17.98,20.66,12.41,18.16
23,18.39,16.8,21.54,16.85,14.64,17.72,9.99,8.64,0.74,11.35,8.25,12.11,22.31,12.29,19.66,24.6,8.99,11.32,16.99,14.33,14.23,3.76,16.31,6.62,20.27,19.78,2.17,21.39,13,2.45,9.56,17.56,15.42,10.43,14.49,21.12,17.71,16.87,6.73,12.17,22.3,7.64,10.44,3.93,18.76,24.83,5.41,6.54,9.88,11.58,3.01,11.86,6.41,5.65,14.85,11.14,2.49,27.2,10.04,20.74,20.71,10.76,10.36,17.78,20.8,15.34,1.46,15.23,8.83,13.09,20.72,1.84,6.5,4.19,7.07,2.14,11.9,21.91,10.93,11.71,6.15,16.49,3.26,10.07,6.93,2.71,11.87,4.05,20.89,14.14,12.15,9.27,12.29,6.47,7.01,11.43,10.59,3.25,1.75,7.05
