"uID" "rec1" "rec2" "rec3" "rec4" "rec5" "rec6" "rec7" "rec8" "rec9" "rec10" "rec11" "rec12" "rec13" "rec14" "rec15" "rec16" "rec17" "rec18" "rec19" "rec20" "rec21" "rec22" "rec23" "rec24" "rec25" "rec26" "rec27" "rec28" "rec29" "rec30" "rec31" "rec32" "rec33" "rec34" "rec35" "rec36" "rec37" "rec38" "rec39" "rec40" "rec41" "rec42" "rec43" "rec44" "rec45" "rec46" "rec47" "rec48" "rec49" "rec50" "rec51" "rec52" "rec53" "rec54" "rec55" "rec56" "rec57" "rec58" "rec59" "rec60" "rec61" "rec62" "rec63" "rec64" "rec65" "rec66" "rec67" "rec68" "rec69" "rec70" "rec71" "rec72" "rec73" "rec74" "rec75" "rec76" "rec77" "rec78" "rec79" "rec80" "rec81" "rec82" "rec83" "rec84" "rec85" "rec86" "rec87" "rec88" "rec89" "rec90" "rec91" "rec92" "rec93" "rec94" "rec95" "rec96" "rec97" "rec98" "rec99" "rec100"
1 27.48 23.12 8.66 6.04 20.36 9.52 21.31 18.97 26.22 7.74 28.17 12.78 15 20.86 8.15 3.64 0.0499999999999998 10.24 3.33 11.9 5.52 2.34 12.75 24.81 20.42 19.35 10.39 26.33 26.77 5.22 16.49 6.79 15.03 2.93 25.39 25.09 24.67 20.46 11.41 13.21 5.13 4.84 4.13 16.04 15.47 15.71 16.16 10.29 20.44 19.5 17.76 16.79 21.52 10.16 9.28 12.25 24.54 9.81 7.71 2.77 6.02 11.95 5.8 15.19 11.43 11.39 12.27 18.04 2.83 10.39 25.3 19.55 12.39 25.4 4.04 12.57 26.06 13.05 18.51 1.16 14.76 2.16 20.15 23.45 5.24 0.5 18.16 10.06 13.05 10.04 21 8.06 17.34 12.61 21.45 8.94 25.56 10.44 13.45 20.36
5 1.65 5.36 12.91 0.130000000000001 8.74 10.37 7.8 8.09 16.41 4.23 15.61 7 7.88 6.31 2.45 8.1 2.37 8.24 9.43 3.42 2.56 17.68 9.48 3.7 3.63 0.279999999999999 2.57 3.36 0.130000000000001 0.54 3.2 8.86 3.39 2.88 7.61 4.94 6.1 2.56 0.0099999999999999 12.44 15.24 8.4 4.56 1.6 6.53 2.71 2.83 6.92 1.78 1.62 3.95 5.33 3.26 2.11 7.62 0.32 10.44 7.29 2.86 8.15 10.44 14.29 10.27 5.48 5.2 3.4 5.56 6.92 7.29 16.35 2.92 9.72 3.34 12.09 12.65 8.02 17.44 0.41 16.72 13.16 16.52 13.39 16.58 1.43 4.02 11.64 8.42 11.58 10.51 3.37 0.23 0.2 4.1 11.66 0.16 2.87 5.01 7.96 3.39 1.94
7 21.46 14.42 6.12 1.92 4.37 5.28 0.56 10.48 20.04 4.14 2.33 15.43 9.72 11.16 12.94 16.42 1.75 4.58 12.4 12.55 1.6 5.86 3.19 14.19 10.94 13.5 9.32 14.85 11.25 2.35 12.67 0.14 0.26 1.2 23.68 5.92 10.1 2.51 17.63 24.62 27.76 5.48 20.4 4.01 2.65 3.07 9.58 21.29 10.01 6.14 1.53 3.38 2.73 5.59 3.86 5.88 8.24 4.91 12.07 0.98 5.66 0.0999999999999996 7.23 5.87 8.77 7.11 4 10.95 13.75 8.4 23.44 0.96 13.54 8.04 9.91 11.38 6.77 4.33 11.04 1.03 1.86 9.61 2.37 13.97 15.55 5.99 11.17 8.83 6.18 12.44 6.54 17.89 7.76 3.52 21.56 3.05 1.14 7.17 0.73 11.58
8 20.92 19.33 15.71 10.58 14.49 3.27 15.73 3.72 16.13 9.22 18.99 15.6 23.34 13.49 14.98 12.4 18.34 5.47 10.04 12.8 13.25 7.3 9.89 10.53 17.18 11.06 15.69 16.51 4.17 4.63 8.02 6.58 15.04 3.19 13.35 15.16 9.27 6.8 11.81 11.02 22.59 9.52 11.4 5.02 18.54 1.35 13.48 16.83 14.82 13.24 14.53 10.12 0.970000000000001 3.94 16.51 11.89 13.03 8.67 9.37 6.69 7.32 21.93 3.94 5.61 10.29 4.87 3.62 1.16 2.93 7.97 6.74 11 4.35 22.89 3.5 7.9 1.97 1.94 10.38 2.68 11.42 5.99 4.68 6.21 21.16 2.96 5.53 8.84 17.07 10.18 0.24 3.44 3.2 2.19 13.26 12.78 17.61 3.61 14.59 6.54
11 22.38 20.92 20.48 13.15 13.63 20.39 14.15 1.61 7.61 5.15 13.41 0.0299999999999994 12.65 11.94 17.59 20.38 17.37 15.82 10.38 16.04 4.9 3.02 15 4.19 0.830000000000001 9.9 3.27 1.08 8 6.31 14.84 5.43 6.31 8.49 19.77 5.1 23.08 15.97 6.24 10.99 14.06 8.68 7.1 4.24 4.52 6.69 11.32 17.13 10.7 12.28 9.62 5.92 17.01 19.68 14.44 15.22 9.05 17.11 16.46 21.02 0.460000000000001 16.89 10.41 8.31 8.1 15.55 0.53 13.42 5.12 18.88 18.37 3.99 6.75 8.2 0.369999999999999 7 1.59 2.06 14.62 8.79 15.93 2.47 10.71 12.59 15.21 7.72 13.53 11.09 12.27 0.830000000000001 0.880000000000001 15.16 20.2 16.75 10.35 16.77 5.6 1.53 4.84 0.96
13 22.44 23.79 17.71 12.96 28.42 21.32 20.16 11.29 18.94 26.63 15.17 16.54 10.9 5.37 9.8 16.15 16 17.06 10.83 14.76 10.25 12.95 12.83 17.16 20.85 27.38 17.94 9.66 19.29 24.37 8.67 25.22 6.75 22.64 11.97 18.68 17.48 4.26 12.45 23.69 15.89 24.02 9.65 9.85 26.38 19.1 9.16 20.27 14.43 10.01 24.31 12.42 26.82 10.09 22.56 10.38 5.69 12.57 23.93 3.62 20.83 9.1 13.66 4.47 18.36 14.33 4.13 25.71 21.05 18.17 8.19 15.2 16.35 3.77 20.73 16.55 4.88 27.06 25.66 17.23 9.89 5.59 9.9 4.61 10.43 13.9 16.62 4.48 6.92 7.33 6.48 2.28 12.77 15.97 3.83 10.49 4.44089209850063e-16 16.18 19.13 7.41
14 13.95 2.62 2.91 7.2 14.08 4.11 13.29 0.18 26.1 20.45 13.39 22.61 14.77 13.61 1.3 25.08 0.100000000000001 8.06 10.16 2.44 7.08 13.94 2.63 7.26 3.58 19.92 13.81 5.64 11.15 13.96 15.68 11.53 5.37 14.11 8.95 7.62 25.59 13.25 7.97 15.51 23.22 3.68 23.21 5.54 1.47 1.24 6.59 8.5 5.86 10.46 8.34 9.79 0.38 9.88 23.39 10.23 12.2 5.97 4.6 0.149999999999999 9.42 12.53 8.01 24.57 18.73 13.91 9.92 19.51 8.89 23.14 3.39 10.1 18.16 12.32 7.56 15.62 12.65 19.48 1.79 2.39 13.44 4.5 11.89 1.32 3.87 14.1 15.57 10.72 1.49 8.03 5.36 3.09 4.61 11.04 11.17 20.13 19.63 16.28 11.18 4.01
15 7.35 12.13 17.62 16.29 7.64 25.6 12.29 13.3 11.7 7.43 15.17 4.04 12.66 23.46 18.91 7.76 10.88 17.4 4.27 11.87 8.41 12.2 5.38 1.03 9.62 12.24 8.98 10.21 8.21 16.14 17.06 13.14 18.75 22.68 14.62 13.58 8.27 7.08 2.27 7.62 1.49 7.3 10.55 16.16 9.07 0.260000000000001 5.38 15.47 14.69 3.24 6.76 9.5 16.97 7.76 7.36 0.99 0.350000000000001 11.13 4.62 8.57 11.2 2.27 8.88 10.56 8.87 10.99 3.84 22.47 10.85 17.19 7.28 1.13 9.72 4.38 11.16 17.57 14.2 16.11 15.58 0.69 2.1 10.65 15.18 10.7 15.02 6.03 2.76 4.74 3.76 3.17 5.45 1.67 16.47 20.57 2.54 12.5 1 0.84 14.66 10.97
17 18.05 22.35 21.82 4.17 15.35 18.85 11.33 8.33 12.6 16.77 7.56 3.87 12.25 15.26 2.7 2.46 24.56 15.63 4.15 12.15 13.97 20.21 22.76 17.98 27.61 21.62 6.62 12.06 14.62 16.63 14.18 6.69 20.83 9.97 11.6 20.17 12.59 20.22 12.44 12.13 17.79 1.23 10.15 8.71 21.01 11.43 25.24 23.3 18.76 7.56 15.73 9.62 6.27 13.84 9.25 21.39 20.55 23.3 10.96 12.72 20.74 6.49 17.14 2.4 18.05 6.4 20.13 22.89 9.37 6.17 20.05 7.51 23.64 14.43 2.82 11.71 24.04 4.86 7.58 7.44 5.87 23.26 11.7 18.66 13.8 10.13 13.07 13.28 6.25 17.71 18.72 18.47 15.57 6.23 10.08 18.16 17.98 20.66 12.41 13.59
23 21.54 16.87 2.17 5.41 12.17 11.32 24.6 13 12.29 22.31 21.39 27.2 10.76 10.43 9.99 16.85 7.64 2.45 15.42 14.23 16.99 24.83 22.3 20.74 3.93 17.72 18.76 14.64 8.64 12.11 17.56 11.58 20.27 0.74 6.73 6.62 6.54 10.04 15.23 11.14 16.8 11.35 20.8 8.99 20.71 16.31 11.86 3.01 20.72 21.12 19.78 14.49 21.91 15.34 18.39 13.09 9.56 19.66 6.41 17.71 17.78 14.33 9.88 3.76 10.59 8.25 10.36 5.65 7.07 7.01 6.15 2.49 11.87 6.5 14.85 8.83 10.44 16.49 4.19 3.26 4.05 6.93 11.9 14.14 6.47 10.93 12.15 11.43 9.27 11.71 1.84 10.07 2.14 7.05 20.89 12.29 3.25 1.75 2.71 1.46
