"uID" "rec1" "rec2" "rec3" "rec4" "rec5" "rec6" "rec7" "rec8" "rec9" "rec10" "rec11" "rec12" "rec13" "rec14" "rec15" "rec16" "rec17" "rec18" "rec19" "rec20" "rec21" "rec22" "rec23" "rec24" "rec25" "rec26" "rec27" "rec28" "rec29" "rec30" "rec31" "rec32" "rec33" "rec34" "rec35" "rec36" "rec37" "rec38" "rec39" "rec40" "rec41" "rec42" "rec43" "rec44" "rec45" "rec46" "rec47" "rec48" "rec49" "rec50" "rec51" "rec52" "rec53" "rec54" "rec55" "rec56" "rec57" "rec58" "rec59" "rec60" "rec61" "rec62" "rec63" "rec64" "rec65" "rec66" "rec67" "rec68" "rec69" "rec70" "rec71" "rec72" "rec73" "rec74" "rec75" "rec76" "rec77" "rec78" "rec79" "rec80" "rec81" "rec82" "rec83" "rec84" "rec85" "rec86" "rec87" "rec88" "rec89" "rec90" "rec91" "rec92" "rec93" "rec94" "rec95" "rec96" "rec97" "rec98" "rec99" "rec100"
1 18.158 17.918 2.678 17.818 13.258 17.818 17.478 13.108 13.688 16.508 18.398 18.348 17.378 12.338 17.038 18.158 18.058 14.028 14.028 0.482 17.818 17.818 13.648 16.898 10.048 9.908 11.948 16.168 17.088 15.538 6.798 16.948 13.548 9.128 15.388 11.998 16.698 7.038 16.318 17.528 12.868 16.268 12.578 18.208 10.248 18.158 8.308 8.788 8.988 16.998 18.208 13.258 15.928 8.208 5.348 9.278 8.888 4.858 18.208 12.818 15.248 4.858 7.038 4.228 9.228 5.348 15.678 7.868 7.378 13.888 2.478 8.888 10.148 5.978 9.758 17.818 12.238 9.518 16.608 16.748 13.738 9.958 5.978 8.498 5.828 13.738 4.278 8.258 3.838 4.178 10.048 7.718 8.258 0.148000000000001 13.838 10.298 8.448 13.598 7.968 12.478
5 6.218 8.548 8.498 3.498 8.688 3.008 3.108 6.998 7.628 5.248 0.248 1.118 4.958 5.638 4.178 3.938 2.088 6.318 7.238 6.998 5.828 7.378 8.058 5.728 7.768 0.242 8.498 9.228 2.528 4.468 9.708 3.988 2.818 8.308 2.968 9.668 2.678 2.288 8.838 7.238 1.268 2.528 0.632 0.098 1.358 3.058 6.318 7.288 1.558 2.968 8.598 0.488000000000001 2.238 0.588 6.948 0.632 2.378 6.898 5.978 3.448 5.728 6.168 6.798 5.488 0.482 4.858 5.638 3.788 0.672 4.568 2.138 8.888 0.0919999999999995 1.268 2.188 0.348 6.898 2.868 4.128 5.248 1.898 4.178 3.648 10.248 0.198 3.688 0.242 4.858 0.0919999999999995 9.618 2.578 1.698 3.688 4.758 9.908 1.408 3.058 2.238 0.678 0.382
7 10.778 4.758 12.628 3.738 16.018 18.448 16.608 18.348 1.018 17.378 16.748 12.338 8.938 9.078 8.738 9.078 18.448 0.148000000000001 6.018 11.318 5.388 3.738 0.632 16.408 0.0420000000000006 9.078 7.918 3.498 2.238 14.858 12.188 1.848 2.038 11.658 1.748 5.048 15.008 8.058 18.108 3.058 10.978 9.128 10.298 12.968 2.088 9.468 4.468 1.318 10.488 2.718 7.038 10.588 0.722 5.828 3.108 5.978 9.178 1.998 4.758 4.958 10.198 6.558 1.218 4.758 1.218 5.728 5.778 0.248 7.088 4.618 7.478 3.208 6.798 6.268 2.968 8.888 1.798 9.278 0.722 5.008 0.297999999999999 13.348 2.968 0.928 12.718 0.198 4.668 9.708 0.672 8.838 0.0479999999999993 3.988 5.928 9.668 3.498 10.488 5.008 0.722 0.098 1.318
8 15.538 8.888 14.028 11.018 10.588 11.018 14.028 10.388 10.588 12.088 14.708 9.708 8.888 8.888 15.538 13.738 12.528 8.688 9.708 10.148 8.888 8.888 8.888 8.888 13.838 14.278 13.348 13.348 15.538 14.028 8.888 13.158 10.588 11.458 13.548 8.888 13.598 7.578 7.578 8.888 14.908 8.888 8.888 8.888 10.588 10.148 8.888 7.138 8.888 5.638 12.528 8.888 7.338 8.888 9.958 5.638 8.888 5.828 4.228 6.268 8.888 10.588 8.888 1.318 4.758 12.968 5.778 5.978 8.888 6.948 5.778 4.418 11.798 5.978 5.388 2.288 2.188 8.888 2.188 7.768 3.838 6.068 6.268 2.288 4.328 3.888 0.248 0.242 8.888 2.868 2.678 10.388 0.438 2.188 8.888 0.438 3.888 0.438 8.888 3.888
11 15.778 15.148 11.558 13.838 16.748 8.208 9.908 10.638 14.328 10.298 15.388 16.798 9.468 9.418 11.658 8.688 11.558 12.628 14.618 11.608 6.608 13.448 8.938 6.408 11.608 13.258 12.238 9.758 10.638 11.068 10.878 11.218 9.028 5.878 10.878 8.598 8.598 7.378 8.888 9.858 6.658 7.188 10.928 9.328 4.708 7.768 13.008 8.688 12.478 11.508 7.138 10.488 11.218 14.808 10.008 8.548 6.318 7.818 14.708 7.918 14.178 7.818 9.708 9.278 9.908 6.748 7.528 6.798 9.028 7.038 11.218 11.748 10.978 10.638 6.798 8.498 4.568 13.688 11.218 8.548 9.808 9.858 10.098 5.678 10.298 6.268 6.558 5.388 10.538 9.178 6.898 1.948 10.928 11.608 4.808 4.078 2.288 4.028 3.888 7.138
13 18.058 16.748 18.158 18.398 18.398 18.348 12.918 18.448 8.888 15.678 17.628 18.108 17.968 16.948 17.238 16.408 18.158 18.498 15.488 12.038 17.868 14.178 15.978 17.378 13.598 15.148 17.718 18.108 17.718 17.288 17.968 18.108 17.378 17.528 16.608 3.398 14.618 18.448 17.768 16.318 18.348 16.018 18.258 18.398 16.798 18.398 17.528 15.048 12.868 18.258 17.478 12.678 9.618 10.048 16.798 16.608 13.258 14.758 17.628 16.748 18.208 1.948 16.608 18.348 14.708 15.538 10.348 17.528 0.728000000000001 17.968 17.378 17.868 8.158 2.038 17.338 17.338 17.378 3.258 16.318 0.0479999999999993 2.628 0.632 1.848 17.868 0.488000000000001 10.248 2.038 9.328 2.968 8.348 1.018 10.928 6.798 12.528 11.268 18.108 0.0919999999999995 13.058 1.698 1.608
14 10.348 3.398 17.868 10.298 17.868 17.868 8.648 17.868 15.048 12.718 13.208 13.208 11.898 12.338 8.838 17.768 13.598 5.388 3.208 16.948 1.168 14.028 15.198 1.218 8.498 0.332 8.348 8.738 15.248 0.198 14.418 4.568 6.168 13.688 6.798 4.328 10.638 9.668 18.058 4.368 3.258 0.588 17.968 1.558 9.668 17.478 14.808 2.138 8.598 4.128 16.698 12.378 2.428 0.438 6.608 0.0420000000000006 15.728 14.228 4.808 0.332 12.768 12.528 12.868 4.368 12.718 0.332 3.688 6.218 5.388 7.578 11.748 4.228 7.188 14.278 0.292000000000001 17.478 12.968 4.328 1.508 5.488 3.448 6.018 17.818 4.858 6.168 5.678 0.828 1.268 5.438 0.348 0.638000000000001 17.088 10.878 0.292000000000001 13.598 3.348 1.898 2.138 17.718 14.028
15 15.198 15.148 14.418 4.128 10.978 14.568 14.908 13.648 14.958 2.578 14.708 6.218 13.398 1.998 7.818 9.418 5.778 10.728 9.708 6.948 13.108 12.918 9.808 6.748 14.078 7.188 12.578 4.518 8.988 5.298 12.628 15.388 16.218 5.538 12.288 11.168 8.498 8.308 11.998 9.668 5.638 8.058 10.878 5.388 14.908 8.498 5.678 10.148 9.368 15.588 13.348 4.668 6.318 10.828 13.398 13.108 3.258 5.048 8.008 12.378 5.878 6.898 7.238 6.898 13.398 2.578 7.528 4.708 11.508 4.958 8.888 5.348 11.218 5.978 2.918 3.008 9.178 8.688 6.408 6.218 10.198 16.458 8.788 5.728 3.498 5.488 1.218 13.108 12.238 5.048 4.808 13.398 5.248 12.088 6.798 3.938 4.808 11.698 8.498 2.378
17 15.828 16.508 13.058 15.098 16.508 12.338 16.898 16.658 14.958 15.008 11.658 13.258 9.128 15.678 10.008 12.968 11.798 11.998 17.038 12.868 17.138 13.838 16.558 12.818 15.638 14.908 10.008 10.148 14.858 16.798 13.108 9.418 6.998 11.798 9.368 17.238 12.868 12.768 16.358 17.038 12.968 9.028 14.568 16.798 10.348 11.698 13.308 9.668 14.758 10.148 9.668 12.038 11.608 10.248 11.608 12.478 17.428 11.698 14.708 11.408 9.958 16.358 14.808 14.808 12.338 9.708 12.238 12.238 13.888 12.288 12.678 9.468 13.398 13.838 12.868 9.278 10.388 10.008 14.858 10.248 15.928 10.928 14.278 14.278 16.658 13.108 9.368 14.668 9.758 16.798 10.198 11.318 10.148 14.228 16.848 7.968 12.918 10.148 11.748 8.448
23 16.608 16.458 17.678 16.698 17.678 14.078 17.428 17.338 11.948 12.238 15.388 17.428 16.608 15.638 12.768 15.048 9.518 17.678 16.998 15.148 14.708 11.848 17.528 8.688 9.078 0.332 15.978 12.038 11.218 12.628 3.348 17.628 8.598 8.548 15.388 11.898 9.278 9.568 14.908 13.938 15.098 4.758 8.498 9.278 14.958 12.718 9.368 9.128 8.258 0.828 12.288 15.828 5.678 8.398 13.158 9.078 14.518 8.008 14.468 14.958 8.838 10.728 9.568 4.128 10.348 11.458 8.258 16.458 12.478 5.878 1.798 8.348 10.388 8.938 9.278 2.868 10.098 5.098 10.778 7.818 11.268 0.778 0.978000000000001 1.068 7.968 3.888 1.608 4.758 0.638000000000001 3.988 13.348 4.858 1.318 0.488000000000001 10.678 2.038 5.198 0.148000000000001 2.918 3.598
