"uID" "rec1" "rec2" "rec3" "rec4" "rec5" "rec6" "rec7" "rec8" "rec9" "rec10" "rec11" "rec12" "rec13" "rec14" "rec15" "rec16" "rec17" "rec18" "rec19" "rec20" "rec21" "rec22" "rec23" "rec24" "rec25" "rec26" "rec27" "rec28" "rec29" "rec30" "rec31" "rec32" "rec33" "rec34" "rec35" "rec36" "rec37" "rec38" "rec39" "rec40" "rec41" "rec42" "rec43" "rec44" "rec45" "rec46" "rec47" "rec48" "rec49" "rec50" "rec51" "rec52" "rec53" "rec54" "rec55" "rec56" "rec57" "rec58" "rec59" "rec60" "rec61" "rec62" "rec63" "rec64" "rec65" "rec66" "rec67" "rec68" "rec69" "rec70" "rec71" "rec72" "rec73" "rec74" "rec75" "rec76" "rec77" "rec78" "rec79" "rec80" "rec81" "rec82" "rec83" "rec84" "rec85" "rec86" "rec87" "rec88" "rec89" "rec90" "rec91" "rec92" "rec93" "rec94" "rec95" "rec96" "rec97" "rec98" "rec99" "rec100"
1 16.2337 15.9937 0.7537 15.8937 11.3337 15.8937 15.5537 11.1837 11.7637 14.5837 16.4737 16.4237 15.4537 10.4137 15.1137 16.2337 16.1337 12.1037 12.1037 2.4063 15.8937 15.8937 11.7237 14.9737 8.1237 7.9837 10.0237 14.2437 15.1637 13.6137 4.8737 15.0237 11.6237 7.2037 13.4637 10.0737 14.7737 5.1137 14.3937 15.6037 10.9437 14.3437 10.6537 16.2837 8.3237 16.2337 6.3837 6.8637 7.0637 15.0737 16.2837 11.3337 14.0037 6.2837 3.4237 7.3537 6.9637 2.9337 16.2837 10.8937 13.3237 2.9337 5.1137 2.3037 7.3037 3.4237 13.7537 5.9437 5.4537 11.9637 0.5537 6.9637 8.2237 4.0537 7.8337 15.8937 10.3137 7.5937 14.6837 14.8237 11.8137 8.0337 4.0537 6.5737 3.9037 11.8137 2.3537 6.3337 1.9137 2.2537 8.1237 5.7937 6.3337 1.7763 11.9137 8.3737 6.5237 11.6737 6.0437 10.5537
5 11.9377 14.2677 14.2177 9.2177 14.4077 8.7277 8.8277 12.7177 13.3477 10.9677 5.9677 6.8377 10.6777 11.3577 9.8977 9.6577 7.8077 12.0377 12.9577 12.7177 11.5477 13.0977 13.7777 11.4477 13.4877 5.4777 14.2177 14.9477 8.2477 10.1877 15.4277 9.7077 8.5377 14.0277 8.6877 15.3877 8.3977 8.0077 14.5577 12.9577 6.9877 8.2477 5.0877 5.8177 7.0777 8.7777 12.0377 13.0077 7.2777 8.6877 14.3177 6.2077 7.9577 6.3077 12.6677 5.0877 8.0977 12.6177 11.6977 9.1677 11.4477 11.8877 12.5177 11.2077 5.2377 10.5777 11.3577 9.5077 5.0477 10.2877 7.8577 14.6077 5.6277 6.9877 7.9077 6.0677 12.6177 8.5877 9.8477 10.9677 7.6177 9.8977 9.3677 15.9677 5.9177 9.4077 5.4777 10.5777 5.6277 15.3377 8.2977 7.4177 9.4077 10.4777 15.6277 7.1277 8.7777 7.9577 6.3977 5.3377
7 13.9869 7.9669 15.8369 6.9469 19.2269 21.6569 19.8169 21.5569 4.2269 20.5869 19.9569 15.5469 12.1469 12.2869 11.9469 12.2869 21.6569 3.3569 9.2269 14.5269 8.5969 6.9469 2.5769 19.6169 3.1669 12.2869 11.1269 6.7069 5.4469 18.0669 15.3969 5.0569 5.2469 14.8669 4.9569 8.2569 18.2169 11.2669 21.3169 6.2669 14.1869 12.3369 13.5069 16.1769 5.2969 12.6769 7.6769 4.5269 13.6969 5.9269 10.2469 13.7969 2.4869 9.0369 6.3169 9.1869 12.3869 5.2069 7.9669 8.1669 13.4069 9.7669 4.4269 7.9669 4.4269 8.9369 8.9869 3.4569 10.2969 7.8269 10.6869 6.4169 10.0069 9.4769 6.1769 12.0969 5.0069 12.4869 2.4869 8.2169 3.5069 16.5569 6.1769 4.1369 15.9269 3.4069 7.8769 12.9169 2.5369 12.0469 3.2569 7.1969 9.1369 12.8769 6.7069 13.6969 8.2169 2.4869 3.3069 4.5269
8 17.1544 10.5044 15.6444 12.6344 12.2044 12.6344 15.6444 12.0044 12.2044 13.7044 16.3244 11.3244 10.5044 10.5044 17.1544 15.3544 14.1444 10.3044 11.3244 11.7644 10.5044 10.5044 10.5044 10.5044 15.4544 15.8944 14.9644 14.9644 17.1544 15.6444 10.5044 14.7744 12.2044 13.0744 15.1644 10.5044 15.2144 9.1944 9.1944 10.5044 16.5244 10.5044 10.5044 10.5044 12.2044 11.7644 10.5044 8.7544 10.5044 7.2544 14.1444 10.5044 8.9544 10.5044 11.5744 7.2544 10.5044 7.4444 5.8444 7.8844 10.5044 12.2044 10.5044 2.9344 6.3744 14.5844 7.3944 7.5944 10.5044 8.5644 7.3944 6.0344 13.4144 7.5944 7.0044 3.9044 3.8044 10.5044 3.8044 9.3844 5.4544 7.6844 7.8844 3.9044 5.9444 5.5044 1.8644 1.3744 10.5044 4.4844 4.2944 12.0044 2.0544 3.8044 10.5044 2.0544 5.5044 2.0544 10.5044 5.5044
11 16.1591 15.5291 11.9391 14.2191 17.1291 8.5891 10.2891 11.0191 14.7091 10.6791 15.7691 17.1791 9.8491 9.7991 12.0391 9.0691 11.9391 13.0091 14.9991 11.9891 6.9891 13.8291 9.3191 6.7891 11.9891 13.6391 12.6191 10.1391 11.0191 11.4491 11.2591 11.5991 9.4091 6.2591 11.2591 8.9791 8.9791 7.7591 9.2691 10.2391 7.0391 7.5691 11.3091 9.7091 5.0891 8.1491 13.3891 9.0691 12.8591 11.8891 7.5191 10.8691 11.5991 15.1891 10.3891 8.9291 6.6991 8.1991 15.0891 8.2991 14.5591 8.1991 10.0891 9.6591 10.2891 7.1291 7.9091 7.1791 9.4091 7.4191 11.5991 12.1291 11.3591 11.0191 7.1791 8.8791 4.9491 14.0691 11.5991 8.9291 10.1891 10.2391 10.4791 6.0591 10.6791 6.6491 6.9391 5.7691 10.9191 9.5591 7.2791 2.3291 11.3091 11.9891 5.1891 4.4591 2.6691 4.4091 4.2691 7.5191
13 14.5352 13.2252 14.6352 14.8752 14.8752 14.8252 9.3952 14.9252 5.3652 12.1552 14.1052 14.5852 14.4452 13.4252 13.7152 12.8852 14.6352 14.9752 11.9652 8.5152 14.3452 10.6552 12.4552 13.8552 10.0752 11.6252 14.1952 14.5852 14.1952 13.7652 14.4452 14.5852 13.8552 14.0052 13.0852 0.1248 11.0952 14.9252 14.2452 12.7952 14.8252 12.4952 14.7352 14.8752 13.2752 14.8752 14.0052 11.5252 9.3452 14.7352 13.9552 9.1552 6.0952 6.5252 13.2752 13.0852 9.7352 11.2352 14.1052 13.2252 14.6852 1.5748 13.0852 14.8252 11.1852 12.0152 6.8252 14.0052 2.7948 14.4452 13.8552 14.3452 4.6352 1.4848 13.8152 13.8152 13.8552 0.2648 12.7952 3.4748 0.8948 4.1548 1.6748 14.3452 3.0348 6.7252 1.4848 5.8052 0.5548 4.8252 2.5048 7.4052 3.2752 9.0052 7.7452 14.5852 3.6148 9.5352 1.8248 1.9148
14 11.7871 4.8371 19.3071 11.7371 19.3071 19.3071 10.0871 19.3071 16.4871 14.1571 14.6471 14.6471 13.3371 13.7771 10.2771 19.2071 15.0371 6.8271 4.6471 18.3871 2.6071 15.4671 16.6371 2.6571 9.9371 1.1071 9.7871 10.1771 16.6871 1.6371 15.8571 6.0071 7.6071 15.1271 8.2371 5.7671 12.0771 11.1071 19.4971 5.8071 4.6971 2.0271 19.4071 2.9971 11.1071 18.9171 16.2471 3.5771 10.0371 5.5671 18.1371 13.8171 3.8671 1.8771 8.0471 1.3971 17.1671 15.6671 6.2471 1.1071 14.2071 13.9671 14.3071 5.8071 14.1571 1.1071 5.1271 7.6571 6.8271 9.0171 13.1871 5.6671 8.6271 15.7171 1.1471 18.9171 14.4071 5.7671 2.9471 6.9271 4.8871 7.4571 19.2571 6.2971 7.6071 7.1171 2.2671 2.7071 6.8771 1.7871 2.0771 18.5271 12.3171 1.1471 15.0371 4.7871 3.3371 3.5771 19.1571 15.4671
15 16.2624 16.2124 15.4824 5.1924 12.0424 15.6324 15.9724 14.7124 16.0224 3.6424 15.7724 7.2824 14.4624 3.0624 8.8824 10.4824 6.8424 11.7924 10.7724 8.0124 14.1724 13.9824 10.8724 7.8124 15.1424 8.2524 13.6424 5.5824 10.0524 6.3624 13.6924 16.4524 17.2824 6.6024 13.3524 12.2324 9.5624 9.3724 13.0624 10.7324 6.7024 9.1224 11.9424 6.4524 15.9724 9.5624 6.7424 11.2124 10.4324 16.6524 14.4124 5.7324 7.3824 11.8924 14.4624 14.1724 4.3224 6.1124 9.0724 13.4424 6.9424 7.9624 8.3024 7.9624 14.4624 3.6424 8.5924 5.7724 12.5724 6.0224 9.9524 6.4124 12.2824 7.0424 3.9824 4.0724 10.2424 9.7524 7.4724 7.2824 11.2624 17.5224 9.8524 6.7924 4.5624 6.5524 2.2824 14.1724 13.3024 6.1124 5.8724 14.4624 6.3124 13.1524 7.8624 5.0024 5.8724 12.7624 9.5624 3.4424
17 12.9229 13.6029 10.1529 12.1929 13.6029 9.4329 13.9929 13.7529 12.0529 12.1029 8.7529 10.3529 6.2229 12.7729 7.1029 10.0629 8.8929 9.0929 14.1329 9.9629 14.2329 10.9329 13.6529 9.9129 12.7329 12.0029 7.1029 7.2429 11.9529 13.8929 10.2029 6.5129 4.0929 8.8929 6.4629 14.3329 9.9629 9.8629 13.4529 14.1329 10.0629 6.1229 11.6629 13.8929 7.4429 8.7929 10.4029 6.7629 11.8529 7.2429 6.7629 9.1329 8.7029 7.3429 8.7029 9.5729 14.5229 8.7929 11.8029 8.5029 7.0529 13.4529 11.9029 11.9029 9.4329 6.8029 9.3329 9.3329 10.9829 9.3829 9.7729 6.5629 10.4929 10.9329 9.9629 6.3729 7.4829 7.1029 11.9529 7.3429 13.0229 8.0229 11.3729 11.3729 13.7529 10.2029 6.4629 11.7629 6.8529 13.8929 7.2929 8.4129 7.2429 11.3229 13.9429 5.0629 10.0129 7.2429 8.8429 5.5429
23 16.596 16.446 17.666 16.686 17.666 14.066 17.416 17.326 11.936 12.226 15.376 17.416 16.596 15.626 12.756 15.036 9.506 17.666 16.986 15.136 14.696 11.836 17.516 8.676 9.066 0.344 15.966 12.026 11.206 12.616 3.336 17.616 8.586 8.536 15.376 11.886 9.266 9.556 14.896 13.926 15.086 4.746 8.486 9.266 14.946 12.706 9.356 9.116 8.246 0.816 12.276 15.816 5.666 8.386 13.146 9.066 14.506 7.996 14.456 14.946 8.826 10.716 9.556 4.116 10.336 11.446 8.246 16.446 12.466 5.866 1.786 8.336 10.376 8.926 9.266 2.856 10.086 5.086 10.766 7.806 11.256 0.766 0.966000000000001 1.056 7.956 3.876 1.596 4.746 0.626000000000001 3.976 13.336 4.846 1.306 0.476000000000001 10.666 2.026 5.186 0.136000000000001 2.906 3.586
